Modality,Scope,N,R2_Tissue,R2_Source,R2_BCT,R2_Sex,P_Tissue,P_Source,P_BCT,P_Sex,R2_BCT_first,VP_Tissue_mean,VP_BCT_mean
"Methylation (probe-avg, enriched)",Full_(164),164,0.1306,0.0285,0.0052,0.0079,0.002,0.041,0.725,0.181,0.0319,0.1319,0.0129
"Methylation (probe-avg, enriched)",EDTA_(96),96,0.1933,0.0555,,0.0051,0.001,0.023,,0.553,,0.1925,0.0
FEM4 (256),Full_(164),164,0.1463,0.047,0.0184,0.0085,0.001,0.001,0.034,0.082,0.1543,0.15988790370778988,0.08797308093693942
FEM4 (256),EDTA_(96),96,0.1711,0.096,,0.0158,0.001,0.001,,0.064,,0.18338830321593214,0.0
Fragment length (369),Full_(164),164,0.1412,0.0517,0.0044,0.0068,0.001,0.001,0.811,0.214,0.0732,0.1471,0.0251
Fragment length (369),EDTA_(96),96,0.2145,0.091,,0.0033,0.001,0.002,,0.696,,0.2157,0.0
CNVkit thr0.10,Full_(164),164,0.0538,0.0168,0.0108,0.008,0.033,0.184,0.446,0.159,0.0384,0.0542,0.0162
CNVkit thr0.10,EDTA_(96),96,0.1053,0.0413,,0.0158,0.001,0.015,,0.084,,0.1052,0.0
"Per-CpG methylation (unenriched, PCA)",Full_(164),164,0.0676,0.0252,0.0151,0.015,0.015,0.036,0.214,0.015,0.0429,0.0675,0.0173
"Per-CpG methylation (unenriched, PCA)",EDTA_(96),96,0.1007,0.0388,,0.0133,0.001,0.024,,0.197,,0.1022,0.0
End density (PCA),Full_(164),164,0.0618,0.0241,0.021,0.1476,0.004,0.007,0.034,0.001,0.0581,0.0723,0.0442
End density (PCA),EDTA_(96),96,0.1046,0.049,,0.1641,0.001,0.001,,0.001,,0.1246,0.0
