Scope,Modality,macro_F1_mean,macro_F1_std,macro_F1_CI95_lower,macro_F1_CI95_upper,median_C,selected_features,total_features,n_original_features
Full,Methylation (probe-avg),0.5149,0.0856,0.3472,0.6827,10.0,147,148,
Full,"Methylation (probe-avg, unenriched)",0.3441,0.0749,0.1973,0.4909,10.0,148,148,
Full,"Methylation (probe-avg, unfiltered QC)",0.3603,0.0984,0.1674,0.5533,10.0,148,148,
Full,Per-CpG methylation (32K->PCs),0.3986,0.12,0.1634,0.6337,0.2512,20,20,32014.0
Full,Per-CpG methylation (enriched),0.5009,0.0743,0.3553,0.6465,10.0,20,20,53144.0
Full,"Per-CpG methylation (aggregated to probes, unenriched)",0.3169,0.0957,0.1293,0.5045,1.5849,124,148,
Full,"Per-CpG methylation (aggregated to probes, enriched)",0.4566,0.0342,0.3895,0.5237,10.0,148,148,
Full,"Methylation (probe-avg, tt39, enriched)",0.413,0.1343,0.1498,0.6762,10.0,39,39,
Full,"Methylation (probe-avg, tt39, unenriched)",0.3402,0.0543,0.2337,0.4466,1.5849,39,39,
Full,"Per-CpG methylation (tt39, unenriched)",0.2892,0.1014,0.0905,0.4878,0.2512,20,20,773.0
Full,"Per-CpG methylation (tt39, unenriched, raw LASSO)",0.2638,0.0768,0.1132,0.4143,1.5849,438,773,
Full,"Per-CpG methylation (tt39, enriched)",0.5132,0.1009,0.3155,0.711,1.5849,20,20,1329.0
Full,"Per-CpG methylation (tt39, enriched, raw LASSO)",0.5054,0.0787,0.3512,0.6597,10.0,893,1329,
TOO,TOO Methylation (probe-avg),0.5723,0.1115,0.3537,0.7908,10.0,144,148,
TOO,"TOO Methylation (probe-avg, unenriched)",0.396,0.0875,0.2246,0.5675,10.0,146,148,
TOO,"TOO Methylation (probe-avg, unfiltered QC)",0.3066,0.1003,0.1101,0.5031,10.0,146,148,
TOO,TOO Per-CpG methylation (32K->PCs),0.4716,0.0522,0.3693,0.5738,1.5849,20,20,31883.0
TOO,TOO Per-CpG methylation (enriched),0.6065,0.174,0.2655,0.9476,1.5849,20,20,51747.0
TOO,"TOO Per-CpG methylation (aggregated to probes, unenriched)",0.2985,0.0893,0.1235,0.4735,10.0,147,148,
TOO,"TOO Per-CpG methylation (aggregated to probes, enriched)",0.487,0.1054,0.2804,0.6936,1.5849,83,148,
TOO,"TOO Methylation (probe-avg, tt39, enriched)",0.4853,0.1451,0.2009,0.7698,10.0,39,39,
TOO,"TOO Methylation (probe-avg, tt39, unenriched)",0.2979,0.1138,0.0748,0.521,1.5849,38,39,
TOO,"TOO Per-CpG methylation (tt39, unenriched)",0.374,0.1129,0.1527,0.5954,0.2512,20,20,772.0
TOO,"TOO Per-CpG methylation (tt39, unenriched, raw LASSO)",0.3599,0.1301,0.105,0.6148,10.0,675,772,
TOO,"TOO Per-CpG methylation (tt39, enriched)",0.5666,0.1012,0.3684,0.7649,0.2512,20,20,1285.0
TOO,"TOO Per-CpG methylation (tt39, enriched, raw LASSO)",0.5583,0.0836,0.3945,0.7221,10.0,838,1285,
TOO EDTA,TOO EDTA Methylation (probe-avg),0.4743,0.2106,0.0616,0.8871,10.0,105,148,
TOO EDTA,"TOO EDTA Methylation (probe-avg, unenriched)",0.4161,0.111,0.1984,0.6337,1.5849,53,148,
TOO EDTA,"TOO EDTA Methylation (probe-avg, unfiltered QC)",0.4719,0.0382,0.397,0.5467,1.5849,56,148,
TOO EDTA,TOO EDTA Per-CpG methylation (32K->PCs),0.3866,0.0748,0.24,0.5332,0.2512,20,20,31674.0
TOO EDTA,TOO EDTA Per-CpG methylation (enriched),0.4222,0.1525,0.1233,0.721,0.2512,20,20,47383.0
TOO EDTA,"TOO EDTA Per-CpG methylation (aggregated to probes, unenriched)",0.4489,0.1529,0.1493,0.7485,10.0,115,148,
TOO EDTA,"TOO EDTA Per-CpG methylation (aggregated to probes, enriched)",0.4612,0.1366,0.1934,0.7291,1.5849,51,148,
TOO EDTA,"TOO EDTA Methylation (probe-avg, tt39, enriched)",0.3452,0.1482,0.0548,0.6356,10.0,35,39,
TOO EDTA,"TOO EDTA Methylation (probe-avg, tt39, unenriched)",0.2828,0.1347,0.0188,0.5468,1.5849,29,39,
TOO EDTA,"TOO EDTA Per-CpG methylation (tt39, unenriched)",0.3848,0.1578,0.0754,0.6941,0.2512,19,20,766.0
TOO EDTA,"TOO EDTA Per-CpG methylation (tt39, unenriched, raw LASSO)",0.295,0.0511,0.1947,0.3952,1.5849,166,766,
TOO EDTA,"TOO EDTA Per-CpG methylation (tt39, enriched)",0.583,0.1858,0.2189,0.9472,10.0,20,20,1158.0
TOO EDTA,"TOO EDTA Per-CpG methylation (tt39, enriched, raw LASSO)",0.6388,0.1818,0.2825,0.9952,10.0,514,1158,
