scope,row,modality,anchor,anchor_type,fold,mod_macro_f1,anchor_macro_f1,delta,mean_delta,n_folds_positive
TOO,4,probe_cpg,probe_meth_unenriched,probe-averaged,1,0.4138345864661653,0.2804761904761904,0.1333583959899749,0.07553644566647665,5
TOO,4,probe_cpg,probe_meth_unenriched,probe-averaged,2,0.4485994397759104,0.4032051282051282,0.045394311570782164,0.07553644566647665,5
TOO,4,probe_cpg,probe_meth_unenriched,probe-averaged,3,0.5028571428571429,0.4531746031746032,0.04968253968253972,0.07553644566647665,5
TOO,4,probe_cpg,probe_meth_unenriched,probe-averaged,4,0.5453968253968254,0.5011038961038962,0.04429292929292927,0.07553644566647665,5
TOO,4,probe_cpg,probe_meth_unenriched,probe-averaged,5,0.4471428571428572,0.3421888053467,0.10495405179615719,0.07553644566647665,5
TOO,4,probe_cpg,probe_cpg_agg_unenriched,probe-aggregation,1,0.4138345864661653,0.3031746031746031,0.11065998329156218,0.17308731584892575,5
TOO,4,probe_cpg,probe_cpg_agg_unenriched,probe-aggregation,2,0.4485994397759104,0.4121212121212121,0.03647822765469827,0.17308731584892575,5
TOO,4,probe_cpg,probe_cpg_agg_unenriched,probe-aggregation,3,0.5028571428571429,0.2323076923076923,0.27054945054945057,0.17308731584892575,5
TOO,4,probe_cpg,probe_cpg_agg_unenriched,probe-aggregation,4,0.5453968253968254,0.3536796536796537,0.19171717171717173,0.17308731584892575,5
TOO,4,probe_cpg,probe_cpg_agg_unenriched,probe-aggregation,5,0.4471428571428572,0.1911111111111111,0.25603174603174605,0.17308731584892575,5
TOO,5,probe_cpg_enriched,probe_meth,probe-averaged,1,0.3383394383394383,0.516031746031746,-0.17769230769230765,0.03425799037563744,2
TOO,5,probe_cpg_enriched,probe_meth,probe-averaged,2,0.7357142857142857,0.5174603174603174,0.21825396825396826,0.03425799037563744,2
TOO,5,probe_cpg_enriched,probe_meth,probe-averaged,3,0.6358730158730158,0.6766666666666667,-0.04079365079365094,0.03425799037563744,2
TOO,5,probe_cpg_enriched,probe_meth,probe-averaged,4,0.5481232492997199,0.7033333333333333,-0.15521008403361336,0.03425799037563744,2
TOO,5,probe_cpg_enriched,probe_meth,probe-averaged,5,0.7745098039215687,0.4477777777777778,0.3267320261437909,0.03425799037563744,2
TOO,5,probe_cpg_enriched,probe_cpg_agg_enriched,probe-aggregation,1,0.3383394383394383,0.5277056277056277,-0.18936618936618937,0.11951934340169634,4
TOO,5,probe_cpg_enriched,probe_cpg_agg_enriched,probe-aggregation,2,0.7357142857142857,0.4829004329004328,0.2528138528138529,0.11951934340169634,4
TOO,5,probe_cpg_enriched,probe_cpg_agg_enriched,probe-aggregation,3,0.6358730158730158,0.5957575757575757,0.040115440115440104,0.11951934340169634,4
TOO,5,probe_cpg_enriched,probe_cpg_agg_enriched,probe-aggregation,4,0.5481232492997199,0.5152661064425771,0.03285714285714281,0.11951934340169634,4
TOO,5,probe_cpg_enriched,probe_cpg_agg_enriched,probe-aggregation,5,0.7745098039215687,0.3133333333333333,0.46117647058823535,0.11951934340169634,4
TOO,6,probe_cpg_agg_unenriched,probe_meth_unenriched,probe-averaged,1,0.3031746031746031,0.2804761904761904,0.022698412698412718,-0.09755087018244912,2
TOO,6,probe_cpg_agg_unenriched,probe_meth_unenriched,probe-averaged,2,0.4121212121212121,0.4032051282051282,0.008916083916083895,-0.09755087018244912,2
TOO,6,probe_cpg_agg_unenriched,probe_meth_unenriched,probe-averaged,3,0.2323076923076923,0.4531746031746032,-0.22086691086691088,-0.09755087018244912,2
TOO,6,probe_cpg_agg_unenriched,probe_meth_unenriched,probe-averaged,4,0.3536796536796537,0.5011038961038962,-0.14742424242424246,-0.09755087018244912,2
TOO,6,probe_cpg_agg_unenriched,probe_meth_unenriched,probe-averaged,5,0.1911111111111111,0.3421888053467,-0.1510776942355889,-0.09755087018244912,2
TOO,7,probe_cpg_agg_enriched,probe_meth,probe-averaged,1,0.5277056277056277,0.516031746031746,0.011673881673881725,-0.08526135302605892,1
TOO,7,probe_cpg_agg_enriched,probe_meth,probe-averaged,2,0.4829004329004328,0.5174603174603174,-0.034559884559884624,-0.08526135302605892,1
TOO,7,probe_cpg_agg_enriched,probe_meth,probe-averaged,3,0.5957575757575757,0.6766666666666667,-0.08090909090909104,-0.08526135302605892,1
TOO,7,probe_cpg_agg_enriched,probe_meth,probe-averaged,4,0.5152661064425771,0.7033333333333333,-0.18806722689075617,-0.08526135302605892,1
TOO,7,probe_cpg_agg_enriched,probe_meth,probe-averaged,5,0.3133333333333333,0.4477777777777778,-0.13444444444444448,-0.08526135302605892,1
TOO,10,probe_cpg_tt39_unenriched,probe_meth_tt39_unenriched,probe-averaged,1,0.4077777777777777,0.1919191919191919,0.21585858585858578,0.07613296848079457,4
TOO,10,probe_cpg_tt39_unenriched,probe_meth_tt39_unenriched,probe-averaged,2,0.3266666666666666,0.209090909090909,0.11757575757575761,0.07613296848079457,4
TOO,10,probe_cpg_tt39_unenriched,probe_meth_tt39_unenriched,probe-averaged,3,0.2614906832298136,0.3227838827838828,-0.0612931995540692,0.07613296848079457,4
