scope,row,modality,label,macro_F1_mean,macro_F1_std,macro_F1_CI95_lower,macro_F1_CI95_upper,balanced_accuracy,n_samples,n_features,n_original_features,median_C,missing_cell_frac,missing_sample_frac,src_acc_Audubon,src_acc_Fox Chase,src_acc_NIH_Clinical_Center,src_acc_Sowalsky
Full,1,probe_meth,Methylation (probe-avg),0.5149,0.0856,0.3472,0.6827,0.5172619047619047,164,148,,10.0,0.0,0.0,0.5032356532356532,0.47748538011695907,0.5666666666666667,0.7333333333333334
Full,2,probe_meth_unenriched,"Methylation (probe-avg, unenriched)",0.3441,0.0749,0.1973,0.4909,0.3576190476190476,164,148,,10.0,0.0002059986816084377,0.03048780487804878,0.5241758241758242,0.29115497076023394,0.4,0.5066666666666666
Full,3,probe_meth_unfiltered_qc,"Methylation (probe-avg, unfiltered QC)",0.3603,0.0984,0.1674,0.5533,0.3663095238095238,164,148,,10.0,0.0002059986816084377,0.03048780487804878,0.4483821733821734,0.3451023391812866,0.35,0.4333333333333333
Full,4,probe_cpg,Per-CpG methylation (32K->PCs),0.3986,0.12,0.1634,0.6337,0.40583333333333327,164,20,32014.0,0.2512,0.058052917397419114,1.0,0.6666361416361417,0.29568713450292394,0.5833333333333333,0.5733333333333334
Full,5,probe_cpg_enriched,Per-CpG methylation (enriched),0.5009,0.0743,0.3553,0.6465,0.49837301587301586,164,20,53144.0,10.0,0.35752722469645287,1.0,0.534004884004884,0.4006578947368421,0.3333333333333333,0.9199999999999999
Full,6,probe_cpg_agg_unenriched,"Per-CpG methylation (aggregated to probes, unenriched)",0.3169,0.0957,0.1293,0.5045,0.3213492063492064,164,148,,1.5849,4.119973632168754e-05,0.006097560975609756,0.29239926739926736,0.3201023391812866,0.5333333333333333,0.5133333333333333
Full,7,probe_cpg_agg_enriched,"Per-CpG methylation (aggregated to probes, enriched)",0.4566,0.0342,0.3895,0.5237,0.4735714285714286,164,148,,10.0,0.0,0.0,0.44975579975579977,0.42448830409356725,0.55,0.58
Full,8,probe_meth_tt39_enriched,"Methylation (probe-avg, tt39, enriched)",0.413,0.1343,0.1498,0.6762,0.4147222222222222,164,39,,10.0,0.0,0.0,0.29288766788766785,0.402046783625731,0.5666666666666667,0.6933333333333334
Full,9,probe_meth_tt39_unenriched,"Methylation (probe-avg, tt39, unenriched)",0.3402,0.0543,0.2337,0.4466,0.3461904761904762,164,39,,1.5849,0.00015634771732332708,0.006097560975609756,0.4233821733821734,0.29232456140350876,0.4,0.4800000000000001
Full,10,probe_cpg_tt39_unenriched,"Per-CpG methylation (tt39, unenriched)",0.2892,0.1014,0.0905,0.4878,0.29873015873015873,164,20,773.0,0.2512,0.045711986874073136,1.0,0.28336385836385836,0.3173245614035088,0.35,0.2666666666666667
