probe_id,chr,mapinfo,ucsc_refgene_name,ucsc_refgene_group,relation_to_island
cg00002719,1,169396706.0,C1orf114,TSS200,Island
cg03257575,1,46951318.0,,,Island
cg04123776,1,170630602.0,,,Island
cg05377226,1,171810910.0,DNM3;DNM3,1stExon;1stExon,Island
cg07790615,1,237205174.0,RYR2,TSS1500,Island
cg10249375,1,63795934.0,,,Island
cg10512745,1,50884480.0,DMRTA2,Body,Island
cg13939859,1,91183519.0,BARHL2,TSS1500,Island
cg13958426,1,169396637.0,C1orf114;C1orf114,1stExon;5'UTR,Island
cg14712186,1,91184413.0,,,Island
cg15467646,1,22141014.0,LDLRAD2,Body,Island
cg15576900,1,44883697.0,RNF220,Body,Island
cg16732616,1,50886782.0,DMRTA2,Body,Island
cg19807257,1,46951354.0,,,Island
cg20449590,1,146551201.0,,,Island
cg23960736,1,4171594.0,,,
cg25200152,1,147790458.0,,,S_Shore
cg00995986,2,66665428.0,MEIS1,Body,S_Shelf
cg01419831,2,162283705.0,,,Island
cg01576677,2,45029908.0,,,Island
cg04869380,2,240270793.0,HDAC4,Body,
cg06382344,2,162280519.0,TBR1,Body,Island
cg06530490,2,118981783.0,,,Island
cg08566455,2,130971164.0,,,Island
cg09250933,2,114035619.0,PAX8;PAX8;PAX8;PAX8;PAX8;LOC440839,Body;Body;Body;Body;Body;Body,Island
cg11014373,2,105479054.0,,,Island
cg12974388,2,237072998.0,,,Island
cg14168530,2,45155991.0,,,Island
cg14473102,2,176994448.0,HOXD8,TSS200,Island
cg16328106,2,61372138.0,C2orf74,TSS200,
cg16926316,2,219256101.0,SLC11A1,Body,Island
cg17774001,2,25600752.0,DTNB;DTNB;DTNB;DTNB;DTNB,3'UTR;3'UTR;3'UTR;3'UTR;3'UTR,S_Shore
cg18091469,2,8724060.0,,,Island
cg20072442,2,80530255.0,CTNNA2;LRRTM1;CTNNA2,Body;Body;Body,Island
cg21185289,2,74743437.0,TLX2,3'UTR,Island
cg22399133,2,208989248.0,CRYGD;CRYGD,1stExon;5'UTR,Island
cg24416513,2,176994764.0,HOXD8;HOXD8,5'UTR;1stExon,Island
cg24632241,2,80530431.0,CTNNA2;LRRTM1;CTNNA2,Body;Body;Body,Island
cg03563667,4,142054417.0,RNF150;RNF150,1stExon;5'UTR,Island
cg15994026,4,15780306.0,CD38,Body,Island
cg23912454,4,156588387.0,GUCY1A3;GUCY1A3;GUCY1A3;GUCY1A3;GUCY1A3;GUCY1A3;GUCY1A3,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;TSS1500;5'UTR,Island
cg02511231,5,170738274.0,TLX3,Body,Island
cg08862890,5,169064451.0,DOCK2,Body,Island
cg12483476,5,178421711.0,GRM6,1stExon,Island
cg14743594,5,167956394.0,FBLL1,TSS200,Island
cg16150752,5,16180072.0,MARCH11,TSS200,Island
cg17712694,5,16180068.0,MARCH11,TSS200,Island
cg23026864,5,140306231.0,PCDHA7;PCDHA12;PCDHA6;PCDHAC1;PCDHA10;PCDHA4;PCDHA11;PCDHA8;PCDHA6;PCDHA1;PCDHA2;PCDHA1;PCDHA9;PCDHA13;PCDHA5;PCDHA3;PCDHAC1;PCDHA10,Body;Body;Body;TSS200;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;TSS200;Body,Island
cg06463958,6,166582393.0,T,TSS1500,Island
cg08382226,6,108440339.0,,,Island
cg08548396,6,30095549.0,,,Island
cg11660826,6,150286508.0,ULBP1,Body,Island
cg11942956,6,133562470.0,EYA4;EYA4;EYA4,TSS200;TSS200;TSS200,Island
cg14186641,6,88876741.0,CNR1;CNR1;CNR1;CNR1,TSS1500;TSS1500;TSS1500;TSS1500,Island
cg20295992,6,108440280.0,,,Island
cg21277995,6,393239.0,IRF4,Body,Island
cg22231056,6,106958645.0,AIM1,TSS1500,Island
cg23164203,6,28367475.0,ZSCAN12;ZSCAN12;ZSCAN12,Body;5'UTR;1stExon,Island
cg27200446,6,41606439.0,MDFI,5'UTR,Island
cg27577527,6,28367544.0,ZSCAN12;ZSCAN12,TSS200;TSS200,Island
cg00469207,7,152622455.0,,,Island
cg02467990,7,49813102.0,VWC2,TSS200,Island
cg04904331,7,49813033.0,VWC2,TSS1500,Island
cg08934785,7,27196759.0,HOXA7,TSS1500,N_Shore
cg09493505,7,49813111.0,VWC2,TSS200,Island
cg13314145,7,98246001.0,NPTX2,TSS1500,Island
cg17839237,7,19157193.0,TWIST1;TWIST1,1stExon;5'UTR,Island
cg17969084,7,27191097.0,,,Island
cg18206027,7,49813486.0,VWC2;VWC2,1stExon;5'UTR,Island
cg20183619,7,155241490.0,,,Island
cg21038156,7,158936739.0,VIPR2,Body,Island
cg21929943,7,152622815.0,,,Island
cg23871697,7,4801993.0,FOXK1,Body,Island
cg25884711,7,24323840.0,NPY;NPY,5'UTR;1stExon,Island
cg27393010,7,121940216.0,,,Island
cg02919936,8,70982285.0,PRDM14,5'UTR,Island
cg04261408,8,97506675.0,SDC2,Body,Island
cg05166490,8,41754172.0,ANK1;ANK1,1stExon;5'UTR,Island
cg13912117,8,132054555.0,,,Island
cg15836635,8,57025662.0,MOS,1stExon,Island
cg19882915,8,102451058.0,,,
cg20079899,8,72755784.0,MSC,Body,Island
cg20690085,8,1895558.0,ARHGEF10,Body,S_Shore
cg20980783,8,67874178.0,,,Island
cg14050824,9,140683797.0,EHMT1,Body,S_Shore
cg02571204,10,114591733.0,,,
cg10143067,10,118892423.0,VAX1,Body,Island
cg11314310,10,1120831.0,WDR37,Body,
cg13840308,10,14816201.0,FAM107B,Body,
cg14038391,10,102900130.0,,,Island
cg14327531,10,8097331.0,GATA3;GATA3,5'UTR;5'UTR,Island
cg14489801,10,103603810.0,KCNIP2;KCNIP2;KCNIP2;KCNIP2;KCNIP2;KCNIP2,TSS200;TSS200;TSS200;TSS200;TSS200;TSS200,S_Shore
cg14861089,10,102895043.0,TLX1,Body,Island
cg15267232,10,8097689.0,GATA3;GATA3,Body;Body,Island
cg18621142,10,21788638.0,,,Island
cg24507921,10,116064472.0,AFAP1L2;AFAP1L2,Body;Body,
cg24831879,10,5566908.0,CALML3,TSS200,N_Shore
cg03401096,11,123301171.0,,,Island
cg06825142,11,637170.0,DRD4,TSS200,Island
cg11017065,11,128564874.0,FLI1;FLI1,Body;5'UTR,Island
cg12528056,11,60619955.0,GPR44,3'UTR,Island
cg12928379,11,637175.0,DRD4,TSS200,Island
cg15778437,11,31839521.0,PAX6,TSS200,Island
cg17872757,11,128564180.0,FLI1;FLI1,Body;5'UTR,Island
cg26121782,11,8284312.0,LMO1,Body,Island
cg01163404,12,129822259.0,TMEM132D,Body,
cg07915921,12,54321502.0,,,Island
cg17031478,12,54427173.0,HOXC4;HOXC5;HOXC5,5'UTR;Body;1stExon,Island
cg22868282,12,47224954.0,,,Island
cg24292235,12,8171463.0,,,Island
cg26682580,12,128752058.0,TMEM132C,Body,Island
cg02699898,13,113424938.0,ATP11A;ATP11A,Body;Body,Island
cg14123923,13,79176572.0,POU4F1,Body,Island
cg19497031,13,79176272.0,POU4F1,Body,Island
cg24221648,13,79170283.0,,,Island
cg04281464,14,70014873.0,,,Island
cg05057720,14,38724675.0,CLEC14A,1stExon,Island
cg05302386,14,52734525.0,PTGDR;PTGDR,1stExon;5'UTR,Island
cg05917460,14,37126902.0,PAX9;PAX9,1stExon;5'UTR,Island
cg13592399,14,52535758.0,NID2;NID2,5'UTR;1stExon,Island
cg21039708,14,57278729.0,OTX2OS1,TSS1500,Island
cg21898844,14,89628169.0,FOXN3;FOXN3,3'UTR;3'UTR,N_Shore
cg11601252,15,68122139.0,LBXCOR1,Body,Island
cg14394692,15,30517589.0,,,Island
cg00582524,16,51184392.0,SALL1;SALL1;SALL1,Body;5'UTR;1stExon,Island
cg03217795,16,23847556.0,PRKCB;PRKCB,1stExon;1stExon,Island
cg05374412,16,82660727.0,CDH13,1stExon,Island
cg06013113,16,678127.0,RAB40C,3'UTR,Island
cg01452847,17,46711341.0,MIR196A1,TSS1500,Island
cg11561737,17,46796908.0,,,Island
cg14458834,17,46655394.0,HOXB4,1stExon,Island
cg15044248,17,75369224.0,SEPT9;SEPT9;SEPT9;SEPT9,TSS200;5'UTR;Body;Body,Island
cg16779463,17,75369055.0,SEPT9;SEPT9;SEPT9;SEPT9,TSS1500;5'UTR;Body;Body,Island
cg17812788,17,40333009.0,KCNH4;KCNH4,1stExon;5'UTR,Island
cg24761507,17,35293930.0,LHX1,TSS1500,Island
cg03502002,18,74962133.0,GALR1;GALR1,1stExon;5'UTR,Island
cg20872937,18,74961968.0,GALR1,TSS200,Island
cg03735888,19,58951602.0,ZNF132,TSS200,Island
cg06590173,19,16189360.0,TPM4;TPM4,Body;Body,S_Shore
cg11957331,19,42828156.0,TMEM145,Body,Island
cg12042659,19,58951599.0,ZNF132,TSS200,Island
cg12074025,19,58238850.0,ZNF671,1stExon,Island
cg18751958,19,1827498.0,REXO1,Body,Island
cg18816098,19,18335182.0,PDE4C;PDE4C;PDE4C;PDE4C,5'UTR;Body;1stExon;Body,Island
cg21790626,19,58220494.0,ZNF154;ZNF154,5'UTR;1stExon,Island
cg25875213,19,38183055.0,ZNF781;ZNF781,5'UTR;1stExon,Island
cg03011535,20,42544794.0,TOX2;TOX2;TOX2;TOX2;TOX2,5'UTR;Body;1stExon;1stExon;5'UTR,Island
cg06962944,20,42544728.0,TOX2;TOX2;TOX2,TSS200;Body;TSS200,Island
