sample	probe_id	CpG_meth	CpG_total	CpG_frac	nonCpG_meth	nonCpG_total	nonCpG_frac	n_reads	n_reads_with_CpG
V10_S3	cg00002719	173	316	0.547468	1	1174	0.000851789	35	35
V10_S3	cg00469207	1315	1695	0.775811	19	5076	0.0037431	123	123
V10_S3	cg00582524	274	405	0.676543	4	1235	0.00323887	32	32
V10_S3	cg00995986	108	183	0.590164	120	1573	0.0762873	40	37
V10_S3	cg01163404	187	276	0.677536	133	1521	0.0874425	34	34
V10_S3	cg01419831	1540	2202	0.699364	94	6596	0.0142511	173	173
V10_S3	cg01452847	14	256	0.0546875	42	618	0.0679612	20	20
V10_S3	cg01576677	411	957	0.429467	17	2300	0.0073913	65	65
V10_S3	cg02467990	457	550	0.830909	79	1325	0.0596226	30	30
V10_S3	cg02511231	5510	8874	0.620915	337	21495	0.0156781	552	552
V10_S3	cg02571204	450	482	0.93361	21	2256	0.00930851	62	62
V10_S3	cg02699898	2180	2372	0.919056	109	9348	0.0116602	204	204
V10_S3	cg02919936	3250	4869	0.667488	263	13279	0.0198057	338	337
V10_S3	cg03011535	778	3242	0.239975	159	8398	0.0189331	216	216
V10_S3	cg03217795	1458	2221	0.656461	116	5070	0.0228797	120	120
V10_S3	cg03257575	162	284	0.570423	1	832	0.00120192	24	24
V10_S3	cg03401096	1078	2026	0.532083	30	5084	0.00590087	131	131
V10_S3	cg03502002	137	169	0.810651	18	369	0.0487805	10	10
V10_S3	cg03563667	511	824	0.620146	52	1912	0.0271967	38	38
V10_S3	cg03735888	1084	1555	0.697106	58	4991	0.0116209	121	121
V10_S3	cg04123776	344	578	0.595156	49	2021	0.0242454	51	51
V10_S3	cg04261408	394	510	0.772549	13	1167	0.0111397	31	31
V10_S3	cg04281464	383	732	0.523224	62	2375	0.0261053	63	63
V10_S3	cg04869380	136	225	0.604444	80	1689	0.0473653	32	32
V10_S3	cg04904331	3048	3844	0.792924	278	8450	0.0328994	206	206
V10_S3	cg05057720	961	1196	0.803512	15	2844	0.00527426	60	60
V10_S3	cg05166490	4010	5376	0.745908	217	10412	0.0208413	243	243
V10_S3	cg05302386	213	2155	0.0988399	141	6458	0.0218334	163	163
V10_S3	cg05374412	304	1364	0.222874	10	4001	0.00249938	106	106
V10_S3	cg05377226	583	1328	0.439006	83	3411	0.024333	91	91
V10_S3	cg05917460	1605	2390	0.671548	119	7594	0.0156703	193	193
V10_S3	cg06013113	261	326	0.800613	49	1576	0.0310914	32	32
V10_S3	cg06382344	3856	4692	0.821824	153	7714	0.0198341	188	188
V10_S3	cg06463958	2779	4442	0.625619	230	12642	0.0181933	338	338
V10_S3	cg06530490	203	1623	0.125077	82	4211	0.0194728	118	118
V10_S3	cg06590173	3	92	0.0326087	46	830	0.0554217	23	20
V10_S3	cg06825142	4644	5926	0.783665	373	14557	0.0256234	356	355
V10_S3	cg06962944	319	885	0.360452	21	2484	0.00845411	60	60
V10_S3	cg07790615	2623	3732	0.70284	97	7475	0.0129766	201	201
V10_S3	cg07915921	456	678	0.672566	11	1641	0.00670323	41	41
V10_S3	cg08382226	937	1977	0.47395	69	6082	0.011345	160	160
V10_S3	cg08548396	689	995	0.692462	58	2888	0.0200831	76	76
V10_S3	cg08566455	392	525	0.746667	25	1156	0.0216263	22	22
V10_S3	cg08862890	511	750	0.681333	107	2284	0.0468476	50	50
V10_S3	cg08934785	9	321	0.0280374	0	1638	0	43	43
V10_S3	cg09250933	542	710	0.76338	4	2463	0.00162404	50	50
V10_S3	cg09493505	4894	6263	0.781415	274	13999	0.0195728	332	332
V10_S3	cg10143067	967	1387	0.697188	23	4749	0.00484312	128	128
V10_S3	cg10249375	414	861	0.480836	125	3087	0.0404924	81	81
V10_S3	cg10512745	7369	12487	0.590134	686	32794	0.0209185	889	879
V10_S3	cg11014373	500	1291	0.387297	22	3546	0.00620417	107	107
V10_S3	cg11017065	1258	1839	0.684067	107	4815	0.0222222	128	128
V10_S3	cg11314310	688	761	0.904074	39	2944	0.0132473	68	68
V10_S3	cg11561737	111	1188	0.0934343	76	3067	0.0247799	92	92
V10_S3	cg11601252	11103	16205	0.685159	839	43561	0.0192603	1084	1080
V10_S3	cg11660826	568	776	0.731959	6	1917	0.00312989	38	38
V10_S3	cg11942956	531	667	0.796102	50	1299	0.0384911	30	30
V10_S3	cg11957331	880	1606	0.547945	46	4078	0.01128	113	113
V10_S3	cg12042659	481	641	0.75039	75	2124	0.0353107	50	50
V10_S3	cg12074025	496	837	0.592593	74	2741	0.0269974	64	64
V10_S3	cg12483476	3633	4786	0.759089	207	8304	0.0249277	196	196
V10_S3	cg12528056	432	862	0.50116	42	2152	0.0195167	50	50
V10_S3	cg12928379	640	822	0.778589	16	1938	0.00825593	54	54
V10_S3	cg12974388	6214	10982	0.565835	562	34117	0.0164727	901	892
