sample	cg00002719	cg00469207	cg00582524	cg00995986	cg01163404	cg01419831	cg01452847	cg01576677	cg02467990	cg02511231	cg02571204	cg02699898	cg02919936	cg03011535	cg03217795	cg03257575	cg03401096	cg03502002	cg03563667	cg03735888	cg04123776	cg04261408	cg04281464	cg04869380	cg04904331	cg05057720	cg05166490	cg05302386	cg05374412	cg05377226	cg05917460	cg06013113	cg06382344	cg06463958	cg06530490	cg06590173	cg06825142	cg06962944	cg07790615	cg07915921	cg08382226	cg08548396	cg08566455	cg08862890	cg08934785	cg09250933	cg09493505	cg10143067	cg10249375	cg10512745	cg11014373	cg11017065	cg11314310	cg11561737	cg11601252	cg11660826	cg11942956	cg11957331	cg12042659	cg12074025	cg12483476	cg12528056	cg12928379	cg12974388	cg13314145	cg13592399	cg13840308	cg13912117	cg13939859	cg13958426	cg14038391	cg14050824	cg14123923	cg14168530	cg14186641	cg14327531	cg14394692	cg14458834	cg14473102	cg14489801	cg14712186	cg14743594	cg14861089	cg15044248	cg15267232	cg15467646	cg15576900	cg15778437	cg15836635	cg15994026	cg16150752	cg16328106	cg16732616	cg16779463	cg16926316	cg17031478	cg17712694	cg17774001	cg17812788	cg17839237	cg17872757	cg17969084	cg18091469	cg18206027	cg18621142	cg18751958	cg18816098	cg19497031	cg19807257	cg19882915	cg20072442	cg20079899	cg20183619	cg20295992	cg20449590	cg20690085	cg20872937	cg20980783	cg21038156	cg21039708	cg21185289	cg21277995	cg21790626	cg21898844	cg21929943	cg22231056	cg22399133	cg22868282	cg23026864	cg23164203	cg23871697	cg23912454	cg23960736	cg24221648	cg24292235	cg24416513	cg24507921	cg24632241	cg24761507	cg24831879	cg25200152	cg25875213	cg25884711	cg26121782	cg26682580	cg27200446	cg27393010	cg27577527
V10_S3	0.538298	0.676978	0.614524	0.590999	0.492754	0.586972	0.0304511	0.408561	0.680321	0.438266	0.912168	0.894223	0.548072	0.224457	0.466641	0.483127	0.426691	0.529984	0.559283	0.581187	0.533831	0.628291	0.458647	0.631849	0.675938	0.582306	0.552464	0.0784864	0.199023	0.276143	0.516112	0.823436	0.617274	0.530518	0.0611956	0.0154039	0.64205	0.227675	0.565478	0.551765	0.360576	0.601355	0.626932	0.532358	0.0442971	0.647392	0.680691	0.573967	0.362247	0.422689	0.325046	0.538922	0.902604	0.0531998	0.532254	0.618892	0.47994	0.402399	0.586437	0.505394	0.601643	0.359162	0.64847	0.423119	0.624942	0.26845	0.837589	0.533372	0.520499	0.52836	0.603665	0.454647	0.382475	0.62126	0.13588	0.572431	0.737227	0.127855	0.0115811	0.640258	0.522258	0.69879	0.668504	0.466909	0.66439	0.486788	0.432548	0.324734	0.45925	0.044504	0.534241	0.557107	0.541466	0.467707	0.742593	0.00844937	0.537567	0.908834	0.0534326	0.667424	0.531948	0.0194419	0.0743637	0.680017	0.750875	0.882624	0.00965597	0.417435	0.472875	0.809466	0.548838	0.585365	0.588724	0.360495	0.632654	0.807925	0.618685	0.542784	0.69236	0.428025	0.419798	0.585148	0.482514	0.836167	0.681152	0.0189819	0.607795	0.0626086	0.473268	0.466118	0.896869	0.536836	0.329765	0.745155	0.544705	0.0152826	0.154365	0.545469	0.387666	0.565854	0.530776	0.370812	0.679412	0.518806	0.528963	0.340351	0.483838	0.462828
V11_S12	0.00633755	0.0347838	0.0283438	0.0843902	0.832625	0.112456	0.0179283	0.0423069	0.0206484	0.051552	0.888466	0.824564	0.0571263	0.0442415	0.0104659	0.0923189	0.0296995	0.0219371	0.0142177	0.0741913	0.02671	0.0131715	0.104568	0.8349	0.020684	0.0467727	0.0314612	0.0262888	0.0282547	0.0165576	0.0359035	0.810562	0.0404775	0.0398546	0.0281532	0.10655	0.176051	0.0445772	0.0252163	0.075	0.0416768	0.277483	0.0770535	0.0159344	0.0323565	0.0846686	0.0207887	0.0479284	0.0320257	0.0592833	0.0396134	0.0159256	0.856179	0.0495606	0.0585131	0.0215168	0.0211631	0.0916974	0.0726515	0.00956818	0.0724003	0.756246	0.175828	0.0549801	0.0420615	0.0261085	0.857038	0.034304	0.0283172	0.00771186	0.04249	0.820521	0.0289944	0.0466511	0.0165103	0.019479	0.239316	0.0126282	0.0147725	0.08615	0.0284265	0.256595	0.0312188	0.00992133	0.0384527	0.145589	0.0215797	0.0436037	0.0424244	0.0108767	0.0514359	0.00774563	0.0357224	0.00984383	0.83363	0.0236292	0.052202	0.811479	0.0255021	0.00902877	0.0157985	0.019448	0.0973828	0.0208678	0.810763	0.852054	0.0174852	0.0305749	0.0911443	0.860174	0.032994	0.0230244	0.0356907	0.0417755	0.0675497	0.861835	0.0341963	0.0250739	0.0264882	0.0619995	0.0532538	0.0306845	0.0305275	0.87634	0.0354858	0.0151537	0.0173818	0.0232942	0.0337337	0.00582713	0.872979	0.00798285	0.69395	0.0193843	0.00969082	0.0337979	0.00773875	0.0323364	0.0529038	0.869391	0.0672857	0.0135102	0.0352099	0.0339465	0.0317783	0.16985	0.0539992	0.00606709
V12_S1	0.0130792	0.0253225	0.0355112	0.086349	0.823862	0.115257	0.0231732	0.0320835	0.0113312	0.0435602	0.952688	0.855631	0.0467941	0.0502023	0.00498895	0.096638	0.0220202	0.0364548	0.00427474	0.108891	0.0173089	0.00588232	0.123111	0.860955	0.0109023	0.0274951	0.0301142	0.0180115	0.0219996	0.00893254	0.0286834	0.848285	0.0403163	0.0337236	0.021351	0.0959221	0.171551	0.0500772	0.0216318	0.056956	0.0392303	0.326385	0.0695738	0.00940555	0.0249383	0.0768406	0.0112847	0.0404735	0.0322931	0.0476136	0.035943	0.00702964	0.873639	0.0448004	0.0535313	0.00951094	0.00679688	0.103528	0.108236	0.00481004	0.0613881	0.848672	0.172618	0.0528005	0.0435123	0.0187061	0.895305	0.0282751	0.0247729	0.0131509	0.035379	0.823888	0.0207498	0.0429942	0.0125495	0.0180961	0.305306	0.00723806	0.0103152	0.0483364	0.0251957	0.269013	0.0325056	0.00698873	0.0297219	0.16782	0.0139153	0.053528	0.0292596	0.00639268	0.0666323	0.00908129	0.0249967	0.00672473	0.85794	0.0149618	0.0667746	0.851427	0.0112055	0.00750785	0.00678119	0.00636487	0.0348291	0.0111419	0.808216	0.849405	0.0112647	0.0135404	0.0955669	0.893729	0.033614	0.0170241	0.0276944	0.0390947	0.185151	0.871433	0.0415705	0.0181352	0.0362518	0.0758052	0.0466176	0.0248214	0.0229987	0.885222	0.0253761	0.0107921	0.0285368	0.0250247	0.0292959	0.0037526	0.886081	0.00350163	0.664883	0.0172476	0.00990758	0.0299176	0.0055856	0.0339055	0.0461158	0.855727	0.0236949	0.00708222	0.0325225	0.0193824	0.0261714	0.174755	0.0640235	0.00372445
V12_S14	0.0154078	0.0343399	0.036735	0.0479331	0.854109	0.114126	0.0219004	0.0383933	0.019017	0.052058	0.93619	0.86947	0.0532907	0.0576664	0.0105449	0.0896027	0.0343422	0.0362454	0.0192341	0.0831493	0.0244582	0.0161246	0.110296	0.883027	0.0189003	0.0389819	0.0328071	0.0220226	0.0307226	0.0132557	0.0343682	0.859992	0.0382481	0.0405606	0.0220262	0.0294517	0.155906	0.057418	0.0275036	0.0684917	0.0441545	0.285266	0.0683539	0.0125862	0.0262449	0.0630765	0.0190151	0.047107	0.0309603	0.0602505	0.0400372	0.0133563	0.906586	0.0514168	0.0569121	0.0123423	0.0205672	0.0870082	0.0842016	0.0107533	0.070864	0.853172	0.154417	0.0576354	0.0490483	0.0238643	0.905907	0.0363075	0.0303052	0.0161233	0.0397588	0.814284	0.0278478	0.0502996	0.0185454	0.0232732	0.305701	0.00858012	0.0251274	0.105193	0.0300096	0.270872	0.0285339	0.0119649	0.0167507	0.180966	0.0190387	0.0459278	0.0370082	0.00753434	0.0574885	0.0528333	0.0320875	0.0121993	0.877631	0.0220643	0.0586474	0.861624	0.0191575	0.0112948	0.0131678	0.0118196	0.0380209	0.0187382	0.864105	0.866366	0.0179915	0.0277749	0.0904932	0.909189	0.0312558	0.0271022	0.0376962	0.0440751	0.0790342	0.898918	0.0433619	0.0247179	0.0322665	0.0566124	0.0495878	0.0289717	0.0574613	0.917073	0.0341786	0.0125926	0.0665054	0.034647	0.0420627	0.00733881	0.900087	0.00697858	0.722478	0.01976	0.00938911	0.0272201	0.00747851	0.0318267	0.0536461	0.909606	0.0246846	0.0145195	0.0360699	0.0447139	0.0339957	0.186448	0.0659574	0.00748209
V12_S2	0.00399511	0.0271001	0.0268231	0.0819388	0.871778	0.0957609	0.0152774	0.0361739	0.0170317	0.0470464	0.900743	0.86906	0.0390597	0.0458587	0.00683929	0.0565367	0.0282747	0.0261304	0.00794085	0.100702	0.0323105	0.0158307	0.110281	0.879658	0.0172901	0.0245294	0.0362918	0.0293511	0.0285517	0.00680164	0.0240334	0.839869	0.0338719	0.0357671	0.0142931	0.0502825	0.19378	0.0464057	0.0270082	0.0587188	0.042206	0.153039	0.0454841	0.0063818	0.0247615	0.0529389	0.0167193	0.053628	0.0229241	0.0573581	0.0577388	0.00714451	0.877579	0.047838	0.0486216	0.00861045	0.00867278	0.0731082	0.103453	0.00284489	0.0716892	0.847965	0.19546	0.0576169	0.0601173	0.0122329	0.891575	0.0327253	0.0262574	0.00390839	0.0287538	0.825529	0.0181512	0.0404839	0.0126329	0.0164083	0.38609	0.00705893	0.011907	0.092372	0.0268858	0.307407	0.0205803	0.0079624	0.017691	0.122736	0.0162791	0.0530896	0.0330908	0.00347629	0.0689549	0.0328723	0.0237299	0.00795628	0.866988	0.0193266	0.0688221	0.846459	0.00947104	0.00653879	0.00755974	0.00903433	0.0521352	0.0170855	0.804632	0.872978	0.0149741	0.0168742	0.0541099	0.888794	0.0265415	0.015245	0.0288292	0.0418994	0.24879	0.867187	0.0443845	0.0195222	0.0493463	0.0428054	0.0536563	0.0225636	0.0276516	0.902605	0.0277371	0.00797385	0.00837924	0.0285289	0.0852308	0.00544327	0.884035	0.00605088	0.714818	0.0224349	0.00622595	0.0192703	0.00527329	0.0266911	0.0445524	0.883245	0.0165263	0.00767624	0.0247695	0.0283753	0.0345071	0.189671	0.0554107	0.00530404
V12_S3	0.00500278	0.0258414	0.0348166	0.0574488	0.861342	0.102543	0.0207657	0.0281004	0.0133165	0.0422464	0.943578	0.859912	0.0430362	0.0479829	0.00547397	0.0875924	0.0238964	0.033067	0.00928359	0.0787886	0.0194113	0.0147219	0.109784	0.891026	0.0133989	0.0288024	0.0233612	0.0198099	0.0232897	0.00832298	0.0287214	0.861271	0.0266566	0.0341345	0.0170604	0.0399243	0.201036	0.0482222	0.0239799	0.0523256	0.0362464	0.293301	0.0644895	0.00647417	0.0201573	0.0467507	0.013078	0.0407728	0.0258725	0.0511547	0.0327227	0.00717804	0.90841	0.0405508	0.0505584	0.0060978	0.0152444	0.0903207	0.0776241	0.00548945	0.0585816	0.869489	0.200231	0.0513056	0.0390835	0.0202864	0.914174	0.0297901	0.020418	0.00517728	0.0331192	0.8441	0.0185819	0.0427758	0.0108351	0.0198534	0.333004	0.00720885	0.0158772	0.0797839	0.0202491	0.282631	0.0209265	0.00739071	0.0133343	0.171289	0.0117233	0.0358515	0.0311656	0.00507594	0.0391675	0.00607074	0.0206732	0.00725031	0.896548	0.0232776	0.03891	0.885564	0.00871415	0.0049276	0.00730642	0.00679972	0.0753533	0.0133825	0.852349	0.878223	0.0192193	0.0145686	0.0853259	0.894757	0.0259468	0.0202929	0.029276	0.0361257	0.0495671	0.906718	0.0309294	0.0155672	0.0330334	0.0485606	0.0462412	0.0210933	0.0544379	0.900556	0.0262481	0.00811083	0.00742321	0.0230752	0.0257788	0.00494958	0.916871	0.00440265	0.751006	0.0176731	0.00497277	0.0181978	0.00555031	0.0267823	0.0437531	0.907182	0.0118971	0.00940442	0.0511446	0.0256442	0.0267293	0.196092	0.055982	0.00505395
V13_S1	0.0118225	0.0490573	0.045263	0.0776347	0.835689	0.120596	0.0276961	0.0359306	0.0203485	0.0644331	0.921445	0.875761	0.0580203	0.059757	0.0120044	0.0977785	0.0492469	0.0239659	0.00665606	0.0812612	0.034111	0.0107977	0.138998	0.907006	0.0207113	0.03017	0.0399573	0.0225651	0.0324803	0.0168725	0.0375681	0.866919	0.0567635	0.0398273	0.0353712	0.128819	0.270279	0.0599136	0.0359184	0.0789193	0.0441525	0.343294	0.0903199	0.0189406	0.0398055	0.0655214	0.020435	0.0461139	0.0355424	0.0685402	0.0506674	0.0106216	0.89746	0.0491193	0.0675934	0.0187547	0.0314319	0.12299	0.0829476	0.00565875	0.122388	0.870814	0.27115	0.0706015	0.0576733	0.0198335	0.912264	0.0361757	0.0381577	0.0112722	0.045524	0.857904	0.0292098	0.058742	0.0205566	0.0146652	0.599823	0.0240283	0.0292244	0.118514	0.038211	0.462959	0.0230382	0.00869013	0.0432921	0.247721	0.0268513	0.0545172	0.0318167	0.0124385	0.0824245	0.0132953	0.0412737	0.00861603	0.896771	0.0300426	0.0834749	0.883325	0.0141412	0.00953588	0.0109337	0.0118335	0.173089	0.0204737	0.854752	0.896937	0.0227975	0.0322129	0.100758	0.927792	0.032205	0.0247983	0.0374925	0.0444832	0.0931262	0.898472	0.042765	0.0244992	0.0427898	0.0682185	0.0621384	0.0266975	0.0341339	0.882243	0.0453394	0.00369535	0.0241458	0.0317354	0.0421583	0.00478975	0.918806	0.00858572	0.667588	0.0444849	0.0113782	0.0341179	0.00575963	0.0324377	0.0643725	0.917622	0.0398706	0.0141768	0.0361157	0.0361916	0.0374553	0.226068	0.0799927	0.00537589
V13_S10	0.0117971	0.0412795	0.0419012	0.216679	0.861228	0.138604	0.0322282	0.0431823	0.0196375	0.0705557	0.948415	0.916086	0.0697134	0.0659012	0.0264358	0.124208	0.046149	0.0272842	0.00444696	0.08812	0.0394669	0.00880093	0.164007	0.91101	0.0192835	0.0406406	0.0517114	0.0354053	0.0298943	0.0401667	0.0446621	0.913539	0.0824485	0.0439527	0.0405945	0.250559	0.361918	0.0655698	0.0379732	0.0964747	0.0590971	0.383442	0.0939657	0.0271566	0.0531306	0.137241	0.0195192	0.0555768	0.0515253	0.0755655	0.0517843	0.0130288	0.890305	0.0619335	0.0803124	0.0506207	0.0171297	0.145505	0.0882423	0.00159177	0.101963	0.885473	0.360968	0.073354	0.0619837	0.0277777	0.911379	0.0363786	0.039928	0.0121483	0.0524234	0.85968	0.0390927	0.0705555	0.0231892	0.0286057	0.583648	0.0169501	0.0311143	0.155969	0.0396018	0.447451	0.0380915	0.0171728	0.0332756	0.259699	0.0309732	0.0614058	0.0395879	0.0185841	0.084322	0.0161575	0.0409502	0.017278	0.922861	0.0275815	0.0825163	0.903936	0.0216617	0.0152371	0.0129605	0.0234488	0.135466	0.0194381	0.876113	0.912098	0.0208114	0.0387868	0.125509	0.924452	0.0376896	0.0288638	0.0421594	0.0591372	0.0782731	0.895841	0.0450251	0.0361814	0.0513402	0.0724179	0.07614	0.0364848	0.0178979	0.873776	0.0405873	0.0106588	0.0538204	0.0198614	0.0477672	0.00516074	0.934948	0.0070349	0.667867	0.0248158	0.0197133	0.033514	0.0114268	0.0390052	0.069385	0.931094	0.0635971	0.00962456	0.0492386	0.0184695	0.0416645	0.256246	0.0936067	0.00526358
V13_S2	0.0135013	0.0404357	0.0298312	0.105401	0.85938	0.119692	0.0228684	0.0457775	0.0176647	0.0620317	0.936199	0.888263	0.0583116	0.0555228	0.0130014	0.106569	0.0425979	0.0301285	0.0082155	0.10421	0.0316564	0.0110311	0.169465	0.891945	0.0174881	0.0382397	0.0392848	0.0253391	0.0296572	0.0257771	0.0370638	0.881121	0.0547006	0.039754	0.0326992	0.205481	0.292245	0.0552743	0.0317832	0.0793031	0.0470612	0.308671	0.0651212	0.0188957	0.0339708	0.0745218	0.0179333	0.0469699	0.040234	0.0683031	0.0412538	0.0126559	0.867939	0.0516497	0.0669272	0.0323286	0.026561	0.116694	0.10631	0.00542873	0.117931	0.857456	0.290217	0.0707583	0.0575145	0.0209375	0.90509	0.0345373	0.0341668	0.01198	0.0466993	0.852667	0.0283736	0.0578444	0.0207084	0.0202073	0.592376	0.010473	0.0294127	0.100863	0.0343913	0.44731	0.0251542	0.00640363	0.0351896	0.243742	0.028653	0.0598247	0.0332482	0.0215297	0.0760577	0.00969167	0.0373734	0.00661434	0.903605	0.0240863	0.0761645	0.856745	0.0155217	0.00713632	0.0125875	0.0134013	0.0565054	0.0173508	0.845101	0.898572	0.0180491	0.0310219	0.107261	0.906553	0.0291918	0.0249901	0.0373008	0.047301	0.203756	0.8987	0.0464521	0.0292036	0.0355367	0.0710501	0.0669949	0.0278188	0.0220076	0.881352	0.0407376	0.00666484	0.0466228	0.0228358	0.0488912	0.0050195	0.926541	0.0045104	0.683537	0.0309416	0.0132386	0.0321935	0.00969768	0.0275285	0.0636644	0.91083	0.0387961	0.0125585	0.0380753	0.0293432	0.0384386	0.218248	0.0887367	0.00538468
V13_S3	0.00889341	0.0514937	0.0475002	0.111648	0.873243	0.114762	0.0217339	0.0471217	0.0243119	0.0615669	0.924876	0.852961	0.0542397	0.0605133	0.0080793	0.120841	0.0566175	0.0314367	0.00768925	0.0755779	0.0274529	0.0105233	0.172707	0.877998	0.0228942	0.0332099	0.0433875	0.0279379	0.0408522	0.0116511	0.0427832	0.880455	0.0541077	0.047382	0.0256373	0.0860637	0.290892	0.0598512	0.0325538	0.0671198	0.0505917	0.40437	0.0746053	0.0102617	0.0419185	0.0792367	0.0236925	0.0476488	0.0409416	0.071662	0.0475641	0.0106318	0.857814	0.0562561	0.0692603	0.0143984	0.0220164	0.143623	0.0775805	0.00534109	0.175017	0.889122	0.2919	0.0738015	0.0569674	0.0211004	0.897267	0.0404503	0.0416855	0.00753721	0.0427064	0.822611	0.0242876	0.0603944	0.0206996	0.0127228	0.61774	0.00471461	0.0436121	0.119826	0.0410675	0.452809	0.0625982	0.0090654	0.0472188	0.286975	0.0240997	0.0613664	0.0438617	0.00811652	0.078063	0.00750656	0.0324782	0.00841895	0.899349	0.0252464	0.078147	0.854432	0.0101113	0.00898093	0.0083471	0.00867199	0.116447	0.022968	0.86274	0.854811	0.0156596	0.0214908	0.122987	0.912863	0.0336413	0.0264369	0.0381227	0.0501062	0.150386	0.89782	0.0437822	0.0274688	0.0415388	0.0669236	0.071382	0.026092	0.00941623	0.862385	0.0508431	0.00950262	0.0236936	0.0294701	0.0395177	0.00611919	0.928394	0.0122383	0.68506	0.0394326	0.00919626	0.0240783	0.00497015	0.0330631	0.0643935	0.921878	0.0185567	0.0193889	0.0466192	0.032206	0.0490662	0.291452	0.0823876	0.00579441
