probe_id	chr	pos	cpg_idx	feature_id
cg00002719	chr1	169396622	1	cg00002719_cpg01
cg00002719	chr1	169396623	2	cg00002719_cpg02
cg00002719	chr1	169396635	3	cg00002719_cpg03
cg00002719	chr1	169396636	4	cg00002719_cpg04
cg00002719	chr1	169396637	5	cg00002719_cpg05
cg00002719	chr1	169396638	6	cg00002719_cpg06
cg00002719	chr1	169396669	7	cg00002719_cpg07
cg00002719	chr1	169396670	8	cg00002719_cpg08
cg00002719	chr1	169396679	9	cg00002719_cpg09
cg00002719	chr1	169396680	10	cg00002719_cpg10
cg00002719	chr1	169396690	11	cg00002719_cpg11
cg00002719	chr1	169396691	12	cg00002719_cpg12
cg00002719	chr1	169396706	13	cg00002719_cpg13
cg00002719	chr1	169396707	14	cg00002719_cpg14
cg00002719	chr1	169396712	15	cg00002719_cpg15
cg00002719	chr1	169396713	16	cg00002719_cpg16
cg00002719	chr1	169396725	17	cg00002719_cpg17
cg00002719	chr1	169396726	18	cg00002719_cpg18
cg00002719	chr1	169396731	19	cg00002719_cpg19
cg00002719	chr1	169396732	20	cg00002719_cpg20
cg00002719	chr1	169396754	21	cg00002719_cpg21
cg00002719	chr1	169396755	22	cg00002719_cpg22
cg00002719	chr1	169396764	23	cg00002719_cpg23
cg00002719	chr1	169396765	24	cg00002719_cpg24
cg00002719	chr1	169396776	25	cg00002719_cpg25
cg00002719	chr1	169396777	26	cg00002719_cpg26
cg00002719	chr1	169396785	27	cg00002719_cpg27
cg00002719	chr1	169396786	28	cg00002719_cpg28
cg00002719	chr1	169396819	29	cg00002719_cpg29
cg00002719	chr1	169396820	30	cg00002719_cpg30
cg00002719	chr1	169396834	31	cg00002719_cpg31
cg00002719	chr1	169396835	32	cg00002719_cpg32
cg00002719	chr1	169396845	33	cg00002719_cpg33
cg00002719	chr1	169396846	34	cg00002719_cpg34
cg00002719	chr1	169396858	35	cg00002719_cpg35
cg00002719	chr1	169396859	36	cg00002719_cpg36
cg00002719	chr1	169396860	37	cg00002719_cpg37
cg00002719	chr1	169396861	38	cg00002719_cpg38
cg00002719	chr1	169396868	39	cg00002719_cpg39
cg00002719	chr1	169396869	40	cg00002719_cpg40
cg00469207	chr7	152622344	1	cg00469207_cpg01
cg00469207	chr7	152622345	2	cg00469207_cpg02
cg00469207	chr7	152622355	3	cg00469207_cpg03
cg00469207	chr7	152622356	4	cg00469207_cpg04
cg00469207	chr7	152622368	5	cg00469207_cpg05
cg00469207	chr7	152622369	6	cg00469207_cpg06
cg00469207	chr7	152622370	7	cg00469207_cpg07
cg00469207	chr7	152622371	8	cg00469207_cpg08
cg00469207	chr7	152622405	9	cg00469207_cpg09
cg00469207	chr7	152622406	10	cg00469207_cpg10
cg00469207	chr7	152622411	11	cg00469207_cpg11
cg00469207	chr7	152622412	12	cg00469207_cpg12
cg00469207	chr7	152622445	13	cg00469207_cpg13
cg00469207	chr7	152622446	14	cg00469207_cpg14
cg00469207	chr7	152622452	15	cg00469207_cpg15
cg00469207	chr7	152622453	16	cg00469207_cpg16
cg00469207	chr7	152622455	17	cg00469207_cpg17
cg00469207	chr7	152622456	18	cg00469207_cpg18
cg00469207	chr7	152622462	19	cg00469207_cpg19
cg00469207	chr7	152622463	20	cg00469207_cpg20
cg00469207	chr7	152622477	21	cg00469207_cpg21
cg00469207	chr7	152622478	22	cg00469207_cpg22
cg00469207	chr7	152622489	23	cg00469207_cpg23
cg00469207	chr7	152622490	24	cg00469207_cpg24
cg00469207	chr7	152622491	25	cg00469207_cpg25
cg00469207	chr7	152622492	26	cg00469207_cpg26
cg00469207	chr7	152622502	27	cg00469207_cpg27
cg00469207	chr7	152622503	28	cg00469207_cpg28
cg00469207	chr7	152622512	29	cg00469207_cpg29
cg00469207	chr7	152622513	30	cg00469207_cpg30
cg00469207	chr7	152622515	31	cg00469207_cpg31
cg00469207	chr7	152622516	32	cg00469207_cpg32
cg00469207	chr7	152622527	33	cg00469207_cpg33
cg00469207	chr7	152622528	34	cg00469207_cpg34
cg00469207	chr7	152622529	35	cg00469207_cpg35
cg00469207	chr7	152622530	36	cg00469207_cpg36
cg00469207	chr7	152622546	37	cg00469207_cpg37
cg00469207	chr7	152622547	38	cg00469207_cpg38
cg00469207	chr7	152622549	39	cg00469207_cpg39
cg00469207	chr7	152622550	40	cg00469207_cpg40
cg00469207	chr7	152622556	41	cg00469207_cpg41
cg00469207	chr7	152622557	42	cg00469207_cpg42
cg00469207	chr7	152622564	43	cg00469207_cpg43
cg00469207	chr7	152622565	44	cg00469207_cpg44
cg00469207	chr7	152622572	45	cg00469207_cpg45
cg00469207	chr7	152622573	46	cg00469207_cpg46
cg00469207	chr7	152622576	47	cg00469207_cpg47
cg00469207	chr7	152622577	48	cg00469207_cpg48
cg00469207	chr7	152622578	49	cg00469207_cpg49
cg00469207	chr7	152622579	50	cg00469207_cpg50
cg00469207	chr7	152622580	51	cg00469207_cpg51
cg00469207	chr7	152622581	52	cg00469207_cpg52
cg00469207	chr7	152622582	53	cg00469207_cpg53
cg00469207	chr7	152622583	54	cg00469207_cpg54
cg00469207	chr7	152622584	55	cg00469207_cpg55
cg00469207	chr7	152622607	56	cg00469207_cpg56
cg00469207	chr7	152622608	57	cg00469207_cpg57
cg00469207	chr7	152622611	58	cg00469207_cpg58
cg00469207	chr7	152622612	59	cg00469207_cpg59
cg00469207	chr7	152622616	60	cg00469207_cpg60
cg00469207	chr7	152622617	61	cg00469207_cpg61
cg00469207	chr7	152622621	62	cg00469207_cpg62
cg00469207	chr7	152622622	63	cg00469207_cpg63
cg00469207	chr7	152622637	64	cg00469207_cpg64
cg00469207	chr7	152622638	65	cg00469207_cpg65
cg00469207	chr7	152622639	66	cg00469207_cpg66
cg00469207	chr7	152622640	67	cg00469207_cpg67
cg00469207	chr7	152622650	68	cg00469207_cpg68
cg00469207	chr7	152622651	69	cg00469207_cpg69
cg00469207	chr7	152622655	70	cg00469207_cpg70
cg00469207	chr7	152622656	71	cg00469207_cpg71
cg00469207	chr7	152622668	72	cg00469207_cpg72
cg00469207	chr7	152622669	73	cg00469207_cpg73
cg00469207	chr7	152622683	74	cg00469207_cpg74
cg00469207	chr7	152622684	75	cg00469207_cpg75
cg00469207	chr7	152622702	76	cg00469207_cpg76
cg00469207	chr7	152622703	77	cg00469207_cpg77
cg00469207	chr7	152622711	78	cg00469207_cpg78
cg00469207	chr7	152622712	79	cg00469207_cpg79
cg00469207	chr7	152622720	80	cg00469207_cpg80
cg00469207	chr7	152622721	81	cg00469207_cpg81
cg00469207	chr7	152622730	82	cg00469207_cpg82
cg00469207	chr7	152622731	83	cg00469207_cpg83
cg00469207	chr7	152622732	84	cg00469207_cpg84
cg00469207	chr7	152622733	85	cg00469207_cpg85
cg00469207	chr7	152622747	86	cg00469207_cpg86
cg00469207	chr7	152622748	87	cg00469207_cpg87
cg00469207	chr7	152622787	88	cg00469207_cpg88
cg00469207	chr7	152622788	89	cg00469207_cpg89
cg00469207	chr7	152622789	90	cg00469207_cpg90
cg00469207	chr7	152622790	91	cg00469207_cpg91
cg00469207	chr7	152622794	92	cg00469207_cpg92
cg00469207	chr7	152622795	93	cg00469207_cpg93
cg00469207	chr7	152622796	94	cg00469207_cpg94
cg00469207	chr7	152622797	95	cg00469207_cpg95
cg00469207	chr7	152622815	96	cg00469207_cpg96
cg00469207	chr7	152622816	97	cg00469207_cpg97
cg00469207	chr7	152622834	98	cg00469207_cpg98
cg00469207	chr7	152622835	99	cg00469207_cpg99
cg00469207	chr7	152622837	100	cg00469207_cpg100
cg00469207	chr7	152622838	101	cg00469207_cpg101
cg00469207	chr7	152622847	102	cg00469207_cpg102
cg00469207	chr7	152622848	103	cg00469207_cpg103
cg00469207	chr7	152622855	104	cg00469207_cpg104
cg00469207	chr7	152622856	105	cg00469207_cpg105
cg00469207	chr7	152622857	106	cg00469207_cpg106
cg00469207	chr7	152622858	107	cg00469207_cpg107
cg00469207	chr7	152622869	108	cg00469207_cpg108
cg00469207	chr7	152622870	109	cg00469207_cpg109
cg00469207	chr7	152622884	110	cg00469207_cpg110
cg00469207	chr7	152622885	111	cg00469207_cpg111
cg00469207	chr7	152622911	112	cg00469207_cpg112
cg00469207	chr7	152622912	113	cg00469207_cpg113
cg00469207	chr7	152622918	114	cg00469207_cpg114
cg00469207	chr7	152622919	115	cg00469207_cpg115
cg00469207	chr7	152622938	116	cg00469207_cpg116
cg00469207	chr7	152622939	117	cg00469207_cpg117
cg00469207	chr7	152622941	118	cg00469207_cpg118
cg00469207	chr7	152622942	119	cg00469207_cpg119
cg00469207	chr7	152622951	120	cg00469207_cpg120
cg00469207	chr7	152622952	121	cg00469207_cpg121
cg00469207	chr7	152622962	122	cg00469207_cpg122
cg00469207	chr7	152622963	123	cg00469207_cpg123
cg00469207	chr7	152622979	124	cg00469207_cpg124
cg00469207	chr7	152622980	125	cg00469207_cpg125
cg00469207	chr7	152622986	126	cg00469207_cpg126
cg00469207	chr7	152622987	127	cg00469207_cpg127
cg00469207	chr7	152622993	128	cg00469207_cpg128
cg00469207	chr7	152622994	129	cg00469207_cpg129
cg00469207	chr7	152623006	130	cg00469207_cpg130
cg00469207	chr7	152623007	131	cg00469207_cpg131
cg00469207	chr7	152623032	132	cg00469207_cpg132
cg00469207	chr7	152623033	133	cg00469207_cpg133
cg00469207	chr7	152623043	134	cg00469207_cpg134
cg00469207	chr7	152623044	135	cg00469207_cpg135
cg00469207	chr7	152623062	136	cg00469207_cpg136
cg00469207	chr7	152623063	137	cg00469207_cpg137
cg00469207	chr7	152623071	138	cg00469207_cpg138
cg00469207	chr7	152623072	139	cg00469207_cpg139
cg00469207	chr7	152623078	140	cg00469207_cpg140
cg00469207	chr7	152623079	141	cg00469207_cpg141
cg00469207	chr7	152623082	142	cg00469207_cpg142
cg00469207	chr7	152623083	143	cg00469207_cpg143
cg00469207	chr7	152623111	144	cg00469207_cpg144
cg00469207	chr7	152623112	145	cg00469207_cpg145
cg00469207	chr7	152623126	146	cg00469207_cpg146
cg00469207	chr7	152623127	147	cg00469207_cpg147
cg00469207	chr7	152623133	148	cg00469207_cpg148
cg00469207	chr7	152623134	149	cg00469207_cpg149
cg00469207	chr7	152623142	150	cg00469207_cpg150
cg00469207	chr7	152623143	151	cg00469207_cpg151
cg00469207	chr7	152623149	152	cg00469207_cpg152
cg00469207	chr7	152623150	153	cg00469207_cpg153
cg00469207	chr7	152623162	154	cg00469207_cpg154
cg00469207	chr7	152623163	155	cg00469207_cpg155
cg00469207	chr7	152623165	156	cg00469207_cpg156
cg00469207	chr7	152623166	157	cg00469207_cpg157
cg00469207	chr7	152623168	158	cg00469207_cpg158
cg00469207	chr7	152623169	159	cg00469207_cpg159
cg00469207	chr7	152623173	160	cg00469207_cpg160
cg00469207	chr7	152623174	161	cg00469207_cpg161
cg00469207	chr7	152623175	162	cg00469207_cpg162
cg00469207	chr7	152623176	163	cg00469207_cpg163
cg00469207	chr7	152623179	164	cg00469207_cpg164
cg00469207	chr7	152623180	165	cg00469207_cpg165
cg00469207	chr7	152623198	166	cg00469207_cpg166
cg00469207	chr7	152623199	167	cg00469207_cpg167
cg00469207	chr7	152623204	168	cg00469207_cpg168
cg00469207	chr7	152623205	169	cg00469207_cpg169
cg00469207	chr7	152623207	170	cg00469207_cpg170
cg00469207	chr7	152623208	171	cg00469207_cpg171
cg00469207	chr7	152623218	172	cg00469207_cpg172
cg00469207	chr7	152623219	173	cg00469207_cpg173
cg00469207	chr7	152623220	174	cg00469207_cpg174
cg00469207	chr7	152623221	175	cg00469207_cpg175
cg00469207	chr7	152623222	176	cg00469207_cpg176
cg00469207	chr7	152623223	177	cg00469207_cpg177
cg00469207	chr7	152623224	178	cg00469207_cpg178
cg00469207	chr7	152623234	179	cg00469207_cpg179
cg00469207	chr7	152623235	180	cg00469207_cpg180
cg00469207	chr7	152623249	181	cg00469207_cpg181
cg00469207	chr7	152623250	182	cg00469207_cpg182
cg00469207	chr7	152623254	183	cg00469207_cpg183
cg00469207	chr7	152623255	184	cg00469207_cpg184
cg00469207	chr7	152623259	185	cg00469207_cpg185
cg00469207	chr7	152623267	186	cg00469207_cpg186
cg00469207	chr7	152623268	187	cg00469207_cpg187
cg00469207	chr7	152623271	188	cg00469207_cpg188
cg00469207	chr7	152623272	189	cg00469207_cpg189
cg00469207	chr7	152623299	190	cg00469207_cpg190
cg00469207	chr7	152623300	191	cg00469207_cpg191
cg00469207	chr7	152623304	192	cg00469207_cpg192
cg00469207	chr7	152623305	193	cg00469207_cpg193
cg00582524	chr16	51184340	1	cg00582524_cpg01
cg00582524	chr16	51184341	2	cg00582524_cpg02
cg00582524	chr16	51184355	3	cg00582524_cpg03
cg00582524	chr16	51184356	4	cg00582524_cpg04
cg00582524	chr16	51184367	5	cg00582524_cpg05
cg00582524	chr16	51184368	6	cg00582524_cpg06
cg00582524	chr16	51184379	7	cg00582524_cpg07
cg00582524	chr16	51184380	8	cg00582524_cpg08
cg00582524	chr16	51184383	9	cg00582524_cpg09
cg00582524	chr16	51184384	10	cg00582524_cpg10
cg00582524	chr16	51184392	11	cg00582524_cpg11
cg00582524	chr16	51184393	12	cg00582524_cpg12
cg00582524	chr16	51184398	13	cg00582524_cpg13
cg00582524	chr16	51184399	14	cg00582524_cpg14
cg00582524	chr16	51184400	15	cg00582524_cpg15
cg00582524	chr16	51184410	16	cg00582524_cpg16
cg00582524	chr16	51184411	17	cg00582524_cpg17
cg00582524	chr16	51184432	18	cg00582524_cpg18
cg00582524	chr16	51184433	19	cg00582524_cpg19
cg00582524	chr16	51184436	20	cg00582524_cpg20
cg00582524	chr16	51184437	21	cg00582524_cpg21
cg00582524	chr16	51184447	22	cg00582524_cpg22
cg00582524	chr16	51184448	23	cg00582524_cpg23
cg00995986	chr2	66665390	1	cg00995986_cpg01
cg00995986	chr2	66665391	2	cg00995986_cpg02
cg00995986	chr2	66665408	3	cg00995986_cpg03
