sample	chr1:142500000-142600000	chr2:89800000-89900000	chr4:49100000-49200000	chr7:116200000-116300000	chr7:116400000-116500000	chr7:116500000-116600000	chr10:39100000-39200000	chr15:20400000-20500000	chr15:20500000-20600000	chr15:21900000-22000000	chr15:22300000-22400000	chr15:22400000-22500000	chr15:22500000-22600000	chr17:22200000-22300000	chr19:27800000-27900000	chr21:10700000-10800000	chr21:10800000-10900000
V10_S3	92.946	66.1829	75.0656	23.5391	22.2366	21.5302	35.1395	79.0743	81.868	49.4669	39.5579	44.3467	37.9792	76.8099	47.2393	207.77	153.146
V21_S11	44.7833	35.9984	68.4552	41.8325	40.9941	37.4416	23.3209	61.8579	59.4916	24.0558	37.7973	50.5359	49.5549	80.3648	57.0752	162.478	101.744
V21_S12	69.9097	51.5188	51.752	37.9602	38.0732	33.8562	34.0804	90.8297	69.9761	42.1108	28.2419	36.5665	35.2248	79.7195	65.8021	182.154	110.595
V21_S13	68.9072	57.5134	57.8678	38.0085	37.6436	33.1693	26.8704	97.2637	88.7735	50.8003	53.4799	74.1254	73.861	94.0006	63.8247	194.497	116.859
V21_S14	53.6164	44.2849	41.1072	39.0693	40.0865	33.9169	16.6393	106.382	97.4682	51.1788	67.783	94.3939	92.7822	86.8512	68.9738	163.099	71.0958
V21_S15	64.5291	44.9825	42.5641	37.5172	36.4416	34.3473	19.6125	79.1695	68.3063	41.4564	43.2907	52.1237	50.2717	92.533	76.0958	155.144	62.036
V23_S1	61.3354	46.1356	51.6027	38.9019	37.6835	34.7441	22.9122	112.198	110.133	69.4762	59.4324	70.0986	65.486	99.0357	76.315	197.097	86.9668
V23_S3	63.7568	53.1671	56.4896	38.0271	39.0431	32.831	25.3192	102.902	86.4897	49.0784	39.7335	57.2767	56.6608	82.4586	65.0356	171.754	97.0075
V23_S6	62.1436	47.8875	47.657	40.0576	39.2732	36.5933	18.9056	74.057	74.1774	36.8978	48.2934	54.3224	50.3335	74.5662	73.1213	149.029	59.6684
V23_S7	62.9933	58.0281	50.4457	40.4946	39.1969	37.3049	25.3115	82.56	82.8527	53.0707	49.2141	52.4996	46.3974	66.1674	78.4418	193.917	86.2315
V23_S8	67.7905	53.0912	57.4575	39.7609	39.224	36.9186	22.6494	86.7493	96.4718	53.8231	64.6917	71.1591	63.3119	95.5983	84.2088	214.025	96.5172
V24_S1	73.1421	52.0105	60.5528	37.5449	38.1394	32.9783	22.6151	94.4076	81.688	49.5737	41.1564	52.1997	51.175	86.5295	66.7707	147.28	65.8209
V24_S2	58.2039	54.4514	58.0972	37.7266	38.0749	34.1683	22.8337	113.847	109.813	53.6555	54.7285	73.411	73.1976	55.222	64.2683	162.078	87.3969
V24_S3	60.2186	49.6988	63.2951	37.286	37.0719	32.0032	37.8233	118.007	118.351	57.2359	70.0903	86.7286	87.1531	82.4438	62.5417	142.364	77.2164
VY_S1	62.0557	43.7315	43.8921	38.9922	38.6351	36.2537	20.1643	72.0427	73.373	41.4952	63.1411	67.1412	60.2154	84.4984	82.326	191.09	77.0097
VY_S2	52.6892	46.2568	44.4852	39.55	38.3774	36.9259	20.175	57.5329	56.2049	37.0927	46.97	52.504	48.4512	95.6726	86.6274	210.773	77.5457
