sample	probe_id	CpG_meth	CpG_total	CpG_frac	nonCpG_meth	nonCpG_total	nonCpG_frac	n_reads	n_reads_with_CpG
V10_S3	cg00002719	173	316	0.547468	1	1174	0.000851789	35	35
V10_S3	cg00469207	1307	1686	0.775208	15	5031	0.00298151	122	122
V10_S3	cg00582524	274	405	0.676543	4	1235	0.00323887	32	32
V10_S3	cg00995986	83	151	0.549669	1	1407	0.000710732	37	34
V10_S3	cg01163404	166	251	0.661355	3	1347	0.00222717	31	31
V10_S3	cg01419831	1441	2099	0.686517	30	6322	0.00474533	166	166
V10_S3	cg01452847	3	245	0.0122449	0	576	0	19	19
V10_S3	cg01576677	393	932	0.421674	13	2242	0.00579839	64	64
V10_S3	cg02467990	410	487	0.841889	7	1180	0.0059322	27	27
V10_S3	cg02511231	5152	8438	0.610571	113	20491	0.00551462	532	532
V10_S3	cg02571204	450	482	0.93361	21	2256	0.00930851	62	62
V10_S3	cg02699898	2138	2329	0.917991	54	9134	0.00591198	199	199
V10_S3	cg02919936	3169	4786	0.66214	43	12980	0.00331279	332	331
V10_S3	cg03011535	749	3195	0.234429	20	8242	0.0024266	212	212
V10_S3	cg03217795	1320	2057	0.641711	31	4710	0.00658174	114	114
V10_S3	cg03257575	162	284	0.570423	1	832	0.00120192	24	24
V10_S3	cg03401096	1068	2012	0.530815	26	5068	0.00513023	130	130
V10_S3	cg03502002	122	154	0.792208	6	326	0.0184049	9	9
V10_S3	cg03563667	459	757	0.606341	7	1748	0.00400458	35	35
V10_S3	cg03735888	1025	1490	0.687919	16	4798	0.00333472	117	117
V10_S3	cg04123776	340	573	0.593368	6	1972	0.0030426	50	50
V10_S3	cg04261408	394	510	0.772549	13	1167	0.0111397	31	31
V10_S3	cg04281464	355	703	0.504979	8	2276	0.00351494	61	61
V10_S3	cg04869380	120	209	0.574163	0	1598	0	30	30
V10_S3	cg04904331	2778	3565	0.779243	32	7916	0.00404245	195	195
V10_S3	cg05057720	938	1172	0.800341	11	2785	0.00394973	59	59
V10_S3	cg05166490	3600	4897	0.735144	65	9611	0.00676308	226	226
V10_S3	cg05302386	171	2094	0.0816619	8	6258	0.00127836	158	158
V10_S3	cg05374412	304	1364	0.222874	10	4001	0.00249938	106	106
V10_S3	cg05377226	563	1274	0.441915	12	3259	0.00368211	88	88
V10_S3	cg05917460	1529	2308	0.662478	28	7367	0.00380073	188	188
V10_S3	cg06013113	256	320	0.8	9	1520	0.00592105	31	31
V10_S3	cg06382344	3593	4399	0.816777	72	7082	0.0101666	177	177
V10_S3	cg06463958	2620	4257	0.615457	38	12209	0.00311246	327	327
V10_S3	cg06530490	183	1551	0.117988	4	4019	0.000995272	114	114
V10_S3	cg06590173	0	89	0	2	781	0.00256082	22	19
V10_S3	cg06825142	4210	5452	0.772194	54	13700	0.00394161	334	333
V10_S3	cg06962944	314	880	0.356818	5	2465	0.0020284	59	59
V10_S3	cg07790615	2454	3547	0.691852	21	7153	0.00293583	193	193
V10_S3	cg07915921	440	661	0.665658	4	1596	0.00250627	40	40
V10_S3	cg08382226	922	1930	0.47772	18	5983	0.00300852	156	156
V10_S3	cg08548396	663	969	0.684211	9	2813	0.00319943	74	74
V10_S3	cg08566455	373	504	0.740079	8	1108	0.00722022	21	21
V10_S3	cg08862890	493	732	0.673497	6	2172	0.00276243	48	48
V10_S3	cg08934785	9	321	0.0280374	0	1638	0	43	43
V10_S3	cg09250933	542	710	0.76338	4	2463	0.00162404	50	50
V10_S3	cg09493505	4484	5829	0.769257	54	13155	0.0041049	313	313
V10_S3	cg10143067	938	1357	0.691231	10	4653	0.00214915	126	126
V10_S3	cg10249375	377	820	0.459756	9	2904	0.00309917	77	77
V10_S3	cg10512745	6556	11537	0.568259	171	31070	0.0055037	846	836
V10_S3	cg11014373	494	1285	0.384436	10	3529	0.00283366	106	106
V10_S3	cg11017065	1223	1801	0.679067	24	4699	0.00510747	125	125
V10_S3	cg11314310	670	743	0.90175	7	2888	0.00242382	66	66
V10_S3	cg11561737	77	1136	0.0677817	3	2952	0.00101626	90	90
V10_S3	cg11601252	10506	15548	0.675714	156	41810	0.00373116	1048	1044
V10_S3	cg11660826	568	776	0.731959	6	1917	0.00312989	38	38
V10_S3	cg11942956	478	608	0.786184	11	1192	0.00922819	28	28
V10_S3	cg11957331	835	1551	0.538362	9	3930	0.00229008	110	110
V10_S3	cg12042659	462	622	0.742765	6	2049	0.00292826	49	49
V10_S3	cg12074025	468	809	0.578492	15	2682	0.00559284	63	63
V10_S3	cg12483476	2972	4074	0.729504	77	7210	0.0106796	173	173
V10_S3	cg12528056	401	817	0.49082	2	2063	0.000969462	48	48
V10_S3	cg12928379	610	771	0.79118	4	1881	0.00212653	51	51
V10_S3	cg12974388	5729	10388	0.551502	97	32751	0.00296174	871	862
V10_S3	cg13314145	6769	9186	0.736882	90	17325	0.00519481	435	435
V10_S3	cg13592399	1043	2627	0.397031	25	8746	0.00285845	225	224
V10_S3	cg13840308	715	840	0.85119	5	3526	0.00141804	89	89
V10_S3	cg13912117	3687	5755	0.64066	64	15216	0.0042061	369	369
V10_S3	cg13939859	402	613	0.655791	4	1151	0.00347524	35	35
V10_S3	cg13958426	5	6	0.833333	0	41	0	1	1
V10_S3	cg14038391	958	1331	0.71976	24	3181	0.0075448	80	80
V10_S3	cg14050824	244	580	0.42069	3	2343	0.00128041	52	52
V10_S3	cg14123923	736	1535	0.479479	24	2684	0.00894188	69	69
V10_S3	cg14168530	3170	4357	0.727565	40	11307	0.00353763	297	297
V10_S3	cg14186641	1108	3048	0.363517	21	6542	0.00321003	176	176
V10_S3	cg14327531	312	457	0.682713	3	1289	0.00232739	38	38
V10_S3	cg14394692	4140	4815	0.859813	61	13044	0.00467648	271	270
V10_S3	cg14458834	47	160	0.29375	1	343	0.00291545	8	8
V10_S3	cg14473102	4	438	0.00913242	3	746	0.00402145	20	20
V10_S3	cg14489801	31	65	0.476923	1	442	0.00226244	10	10
V10_S3	cg14712186	2374	3437	0.690719	33	6637	0.00497213	180	180
V10_S3	cg14743594	3431	4173	0.82219	42	8573	0.0048991	204	204
V10_S3	cg14861089	965	1205	0.80083	36	2525	0.0142574	62	62
V10_S3	cg15044248	105	160	0.65625	3	508	0.00590551	11	11
V10_S3	cg15267232	917	1256	0.730096	10	2823	0.00354233	62	62
V10_S3	cg15467646	631	962	0.655925	13	2561	0.00507614	66	66
V10_S3	cg15576900	837	1552	0.539304	28	4113	0.00680768	109	109
V10_S3	cg15778437	478	954	0.501048	5	2825	0.00176991	68	68
V10_S3	cg15836635	982	1859	0.528241	37	6501	0.00569143	168	167
V10_S3	cg15994026	38	1049	0.036225	4	3019	0.00132494	75	75
V10_S3	cg16150752	852	1097	0.776664	12	2240	0.00535714	54	54
V10_S3	cg16328106	635	916	0.693231	7	3086	0.00226831	69	69
V10_S3	cg16732616	239	353	0.677054	3	647	0.00463679	19	19
V10_S3	cg16779463	1042	1767	0.5897	21	5064	0.00414692	126	126
V10_S3	cg16926316	222	278	0.798561	3	1301	0.00230592	26	26
V10_S3	cg17031478	6	519	0.0115607	2	1375	0.00145455	35	35
V10_S3	cg17712694	1867	2427	0.769262	29	5055	0.00573689	113	113
