probe_id	chr	pos	cpg_idx	feature_id
cg00002719	chr1	169396622	1	cg00002719_cpg01
cg00002719	chr1	169396623	2	cg00002719_cpg02
cg00002719	chr1	169396630	3	cg00002719_cpg03
cg00002719	chr1	169396635	4	cg00002719_cpg04
cg00002719	chr1	169396636	5	cg00002719_cpg05
cg00002719	chr1	169396637	6	cg00002719_cpg06
cg00002719	chr1	169396638	7	cg00002719_cpg07
cg00002719	chr1	169396639	8	cg00002719_cpg08
cg00002719	chr1	169396642	9	cg00002719_cpg09
cg00002719	chr1	169396644	10	cg00002719_cpg10
cg00002719	chr1	169396646	11	cg00002719_cpg11
cg00002719	chr1	169396647	12	cg00002719_cpg12
cg00002719	chr1	169396668	13	cg00002719_cpg13
cg00002719	chr1	169396669	14	cg00002719_cpg14
cg00002719	chr1	169396670	15	cg00002719_cpg15
cg00002719	chr1	169396672	16	cg00002719_cpg16
cg00002719	chr1	169396678	17	cg00002719_cpg17
cg00002719	chr1	169396679	18	cg00002719_cpg18
cg00002719	chr1	169396680	19	cg00002719_cpg19
cg00002719	chr1	169396690	20	cg00002719_cpg20
cg00002719	chr1	169396691	21	cg00002719_cpg21
cg00002719	chr1	169396692	22	cg00002719_cpg22
cg00002719	chr1	169396693	23	cg00002719_cpg23
cg00002719	chr1	169396706	24	cg00002719_cpg24
cg00002719	chr1	169396707	25	cg00002719_cpg25
cg00002719	chr1	169396712	26	cg00002719_cpg26
cg00002719	chr1	169396713	27	cg00002719_cpg27
cg00002719	chr1	169396724	28	cg00002719_cpg28
cg00002719	chr1	169396725	29	cg00002719_cpg29
cg00002719	chr1	169396726	30	cg00002719_cpg30
cg00002719	chr1	169396727	31	cg00002719_cpg31
cg00002719	chr1	169396729	32	cg00002719_cpg32
cg00002719	chr1	169396731	33	cg00002719_cpg33
cg00002719	chr1	169396732	34	cg00002719_cpg34
cg00002719	chr1	169396746	35	cg00002719_cpg35
cg00002719	chr1	169396748	36	cg00002719_cpg36
cg00002719	chr1	169396754	37	cg00002719_cpg37
cg00002719	chr1	169396755	38	cg00002719_cpg38
cg00002719	chr1	169396762	39	cg00002719_cpg39
cg00002719	chr1	169396763	40	cg00002719_cpg40
cg00002719	chr1	169396764	41	cg00002719_cpg41
cg00002719	chr1	169396765	42	cg00002719_cpg42
cg00002719	chr1	169396766	43	cg00002719_cpg43
cg00002719	chr1	169396775	44	cg00002719_cpg44
cg00002719	chr1	169396776	45	cg00002719_cpg45
cg00002719	chr1	169396777	46	cg00002719_cpg46
cg00002719	chr1	169396778	47	cg00002719_cpg47
cg00002719	chr1	169396784	48	cg00002719_cpg48
cg00002719	chr1	169396785	49	cg00002719_cpg49
cg00002719	chr1	169396786	50	cg00002719_cpg50
cg00002719	chr1	169396795	51	cg00002719_cpg51
cg00002719	chr1	169396803	52	cg00002719_cpg52
cg00002719	chr1	169396819	53	cg00002719_cpg53
cg00002719	chr1	169396820	54	cg00002719_cpg54
cg00002719	chr1	169396834	55	cg00002719_cpg55
cg00002719	chr1	169396835	56	cg00002719_cpg56
cg00002719	chr1	169396845	57	cg00002719_cpg57
cg00002719	chr1	169396846	58	cg00002719_cpg58
cg00002719	chr1	169396858	59	cg00002719_cpg59
cg00002719	chr1	169396859	60	cg00002719_cpg60
cg00002719	chr1	169396860	61	cg00002719_cpg61
cg00002719	chr1	169396861	62	cg00002719_cpg62
cg00002719	chr1	169396868	63	cg00002719_cpg63
cg00002719	chr1	169396869	64	cg00002719_cpg64
cg00469207	chr7	152622344	1	cg00469207_cpg01
cg00469207	chr7	152622345	2	cg00469207_cpg02
cg00469207	chr7	152622355	3	cg00469207_cpg03
cg00469207	chr7	152622356	4	cg00469207_cpg04
cg00469207	chr7	152622364	5	cg00469207_cpg05
cg00469207	chr7	152622368	6	cg00469207_cpg06
cg00469207	chr7	152622369	7	cg00469207_cpg07
cg00469207	chr7	152622370	8	cg00469207_cpg08
cg00469207	chr7	152622371	9	cg00469207_cpg09
cg00469207	chr7	152622373	10	cg00469207_cpg10
cg00469207	chr7	152622392	11	cg00469207_cpg11
cg00469207	chr7	152622398	12	cg00469207_cpg12
cg00469207	chr7	152622405	13	cg00469207_cpg13
cg00469207	chr7	152622406	14	cg00469207_cpg14
cg00469207	chr7	152622407	15	cg00469207_cpg15
cg00469207	chr7	152622411	16	cg00469207_cpg16
cg00469207	chr7	152622412	17	cg00469207_cpg17
cg00469207	chr7	152622413	18	cg00469207_cpg18
cg00469207	chr7	152622423	19	cg00469207_cpg19
cg00469207	chr7	152622428	20	cg00469207_cpg20
cg00469207	chr7	152622432	21	cg00469207_cpg21
cg00469207	chr7	152622445	22	cg00469207_cpg22
cg00469207	chr7	152622446	23	cg00469207_cpg23
cg00469207	chr7	152622452	24	cg00469207_cpg24
cg00469207	chr7	152622453	25	cg00469207_cpg25
cg00469207	chr7	152622454	26	cg00469207_cpg26
cg00469207	chr7	152622455	27	cg00469207_cpg27
cg00469207	chr7	152622456	28	cg00469207_cpg28
cg00469207	chr7	152622460	29	cg00469207_cpg29
cg00469207	chr7	152622462	30	cg00469207_cpg30
cg00469207	chr7	152622463	31	cg00469207_cpg31
cg00469207	chr7	152622464	32	cg00469207_cpg32
cg00469207	chr7	152622466	33	cg00469207_cpg33
cg00469207	chr7	152622477	34	cg00469207_cpg34
cg00469207	chr7	152622478	35	cg00469207_cpg35
cg00469207	chr7	152622479	36	cg00469207_cpg36
cg00469207	chr7	152622485	37	cg00469207_cpg37
cg00469207	chr7	152622489	38	cg00469207_cpg38
cg00469207	chr7	152622490	39	cg00469207_cpg39
cg00469207	chr7	152622491	40	cg00469207_cpg40
cg00469207	chr7	152622492	41	cg00469207_cpg41
cg00469207	chr7	152622495	42	cg00469207_cpg42
cg00469207	chr7	152622502	43	cg00469207_cpg43
cg00469207	chr7	152622503	44	cg00469207_cpg44
cg00469207	chr7	152622512	45	cg00469207_cpg45
cg00469207	chr7	152622513	46	cg00469207_cpg46
cg00469207	chr7	152622515	47	cg00469207_cpg47
cg00469207	chr7	152622516	48	cg00469207_cpg48
cg00469207	chr7	152622527	49	cg00469207_cpg49
cg00469207	chr7	152622528	50	cg00469207_cpg50
cg00469207	chr7	152622529	51	cg00469207_cpg51
cg00469207	chr7	152622530	52	cg00469207_cpg52
cg00469207	chr7	152622537	53	cg00469207_cpg53
cg00469207	chr7	152622540	54	cg00469207_cpg54
cg00469207	chr7	152622546	55	cg00469207_cpg55
cg00469207	chr7	152622547	56	cg00469207_cpg56
cg00469207	chr7	152622548	57	cg00469207_cpg57
cg00469207	chr7	152622549	58	cg00469207_cpg58
cg00469207	chr7	152622550	59	cg00469207_cpg59
cg00469207	chr7	152622551	60	cg00469207_cpg60
cg00469207	chr7	152622552	61	cg00469207_cpg61
cg00469207	chr7	152622556	62	cg00469207_cpg62
cg00469207	chr7	152622557	63	cg00469207_cpg63
cg00469207	chr7	152622558	64	cg00469207_cpg64
cg00469207	chr7	152622560	65	cg00469207_cpg65
cg00469207	chr7	152622564	66	cg00469207_cpg66
cg00469207	chr7	152622565	67	cg00469207_cpg67
cg00469207	chr7	152622567	68	cg00469207_cpg68
cg00469207	chr7	152622572	69	cg00469207_cpg69
cg00469207	chr7	152622573	70	cg00469207_cpg70
cg00469207	chr7	152622574	71	cg00469207_cpg71
cg00469207	chr7	152622575	72	cg00469207_cpg72
cg00469207	chr7	152622576	73	cg00469207_cpg73
cg00469207	chr7	152622577	74	cg00469207_cpg74
cg00469207	chr7	152622578	75	cg00469207_cpg75
cg00469207	chr7	152622579	76	cg00469207_cpg76
cg00469207	chr7	152622580	77	cg00469207_cpg77
cg00469207	chr7	152622581	78	cg00469207_cpg78
cg00469207	chr7	152622582	79	cg00469207_cpg79
cg00469207	chr7	152622583	80	cg00469207_cpg80
cg00469207	chr7	152622584	81	cg00469207_cpg81
cg00469207	chr7	152622585	82	cg00469207_cpg82
cg00469207	chr7	152622586	83	cg00469207_cpg83
cg00469207	chr7	152622594	84	cg00469207_cpg84
cg00469207	chr7	152622595	85	cg00469207_cpg85
cg00469207	chr7	152622597	86	cg00469207_cpg86
cg00469207	chr7	152622598	87	cg00469207_cpg87
cg00469207	chr7	152622600	88	cg00469207_cpg88
cg00469207	chr7	152622602	89	cg00469207_cpg89
cg00469207	chr7	152622603	90	cg00469207_cpg90
cg00469207	chr7	152622604	91	cg00469207_cpg91
cg00469207	chr7	152622607	92	cg00469207_cpg92
cg00469207	chr7	152622608	93	cg00469207_cpg93
cg00469207	chr7	152622611	94	cg00469207_cpg94
cg00469207	chr7	152622612	95	cg00469207_cpg95
cg00469207	chr7	152622616	96	cg00469207_cpg96
cg00469207	chr7	152622617	97	cg00469207_cpg97
cg00469207	chr7	152622618	98	cg00469207_cpg98
cg00469207	chr7	152622621	99	cg00469207_cpg99
cg00469207	chr7	152622622	100	cg00469207_cpg100
cg00469207	chr7	152622623	101	cg00469207_cpg101
cg00469207	chr7	152622631	102	cg00469207_cpg102
cg00469207	chr7	152622632	103	cg00469207_cpg103
cg00469207	chr7	152622637	104	cg00469207_cpg104
cg00469207	chr7	152622638	105	cg00469207_cpg105
cg00469207	chr7	152622639	106	cg00469207_cpg106
cg00469207	chr7	152622640	107	cg00469207_cpg107
cg00469207	chr7	152622643	108	cg00469207_cpg108
cg00469207	chr7	152622650	109	cg00469207_cpg109
cg00469207	chr7	152622651	110	cg00469207_cpg110
cg00469207	chr7	152622655	111	cg00469207_cpg111
cg00469207	chr7	152622656	112	cg00469207_cpg112
cg00469207	chr7	152622666	113	cg00469207_cpg113
cg00469207	chr7	152622667	114	cg00469207_cpg114
cg00469207	chr7	152622668	115	cg00469207_cpg115
cg00469207	chr7	152622669	116	cg00469207_cpg116
cg00469207	chr7	152622670	117	cg00469207_cpg117
cg00469207	chr7	152622674	118	cg00469207_cpg118
cg00469207	chr7	152622677	119	cg00469207_cpg119
cg00469207	chr7	152622683	120	cg00469207_cpg120
cg00469207	chr7	152622684	121	cg00469207_cpg121
cg00469207	chr7	152622687	122	cg00469207_cpg122
cg00469207	chr7	152622694	123	cg00469207_cpg123
cg00469207	chr7	152622702	124	cg00469207_cpg124
cg00469207	chr7	152622703	125	cg00469207_cpg125
cg00469207	chr7	152622705	126	cg00469207_cpg126
cg00469207	chr7	152622708	127	cg00469207_cpg127
cg00469207	chr7	152622711	128	cg00469207_cpg128
cg00469207	chr7	152622712	129	cg00469207_cpg129
cg00469207	chr7	152622713	130	cg00469207_cpg130
cg00469207	chr7	152622715	131	cg00469207_cpg131
cg00469207	chr7	152622716	132	cg00469207_cpg132
cg00469207	chr7	152622718	133	cg00469207_cpg133
cg00469207	chr7	152622720	134	cg00469207_cpg134
cg00469207	chr7	152622721	135	cg00469207_cpg135
cg00469207	chr7	152622723	136	cg00469207_cpg136
cg00469207	chr7	152622730	137	cg00469207_cpg137
cg00469207	chr7	152622731	138	cg00469207_cpg138
cg00469207	chr7	152622732	139	cg00469207_cpg139
cg00469207	chr7	152622733	140	cg00469207_cpg140
cg00469207	chr7	152622734	141	cg00469207_cpg141
cg00469207	chr7	152622735	142	cg00469207_cpg142
cg00469207	chr7	152622736	143	cg00469207_cpg143
cg00469207	chr7	152622747	144	cg00469207_cpg144
cg00469207	chr7	152622748	145	cg00469207_cpg145
cg00469207	chr7	152622749	146	cg00469207_cpg146
cg00469207	chr7	152622758	147	cg00469207_cpg147
cg00469207	chr7	152622760	148	cg00469207_cpg148
cg00469207	chr7	152622761	149	cg00469207_cpg149
cg00469207	chr7	152622775	150	cg00469207_cpg150
cg00469207	chr7	152622777	151	cg00469207_cpg151
cg00469207	chr7	152622782	152	cg00469207_cpg152
cg00469207	chr7	152622784	153	cg00469207_cpg153
cg00469207	chr7	152622787	154	cg00469207_cpg154
cg00469207	chr7	152622788	155	cg00469207_cpg155
cg00469207	chr7	152622789	156	cg00469207_cpg156
cg00469207	chr7	152622790	157	cg00469207_cpg157
cg00469207	chr7	152622794	158	cg00469207_cpg158
cg00469207	chr7	152622795	159	cg00469207_cpg159
cg00469207	chr7	152622796	160	cg00469207_cpg160
cg00469207	chr7	152622797	161	cg00469207_cpg161
cg00469207	chr7	152622798	162	cg00469207_cpg162
cg00469207	chr7	152622806	163	cg00469207_cpg163
cg00469207	chr7	152622815	164	cg00469207_cpg164
cg00469207	chr7	152622816	165	cg00469207_cpg165
cg00469207	chr7	152622819	166	cg00469207_cpg166
cg00469207	chr7	152622821	167	cg00469207_cpg167
cg00469207	chr7	152622822	168	cg00469207_cpg168
cg00469207	chr7	152622826	169	cg00469207_cpg169
cg00469207	chr7	152622834	170	cg00469207_cpg170
cg00469207	chr7	152622835	171	cg00469207_cpg171
cg00469207	chr7	152622837	172	cg00469207_cpg172
cg00469207	chr7	152622838	173	cg00469207_cpg173
cg00469207	chr7	152622839	174	cg00469207_cpg174
cg00469207	chr7	152622847	175	cg00469207_cpg175
cg00469207	chr7	152622848	176	cg00469207_cpg176
cg00469207	chr7	152622849	177	cg00469207_cpg177
cg00469207	chr7	152622855	178	cg00469207_cpg178
cg00469207	chr7	152622856	179	cg00469207_cpg179
cg00469207	chr7	152622857	180	cg00469207_cpg180
cg00469207	chr7	152622858	181	cg00469207_cpg181
cg00469207	chr7	152622859	182	cg00469207_cpg182
cg00469207	chr7	152622864	183	cg00469207_cpg183
cg00469207	chr7	152622866	184	cg00469207_cpg184
cg00469207	chr7	152622869	185	cg00469207_cpg185
cg00469207	chr7	152622870	186	cg00469207_cpg186
cg00469207	chr7	152622871	187	cg00469207_cpg187
cg00469207	chr7	152622874	188	cg00469207_cpg188
cg00469207	chr7	152622876	189	cg00469207_cpg189
cg00469207	chr7	152622884	190	cg00469207_cpg190
cg00469207	chr7	152622885	191	cg00469207_cpg191
cg00469207	chr7	152622886	192	cg00469207_cpg192
cg00469207	chr7	152622892	193	cg00469207_cpg193
cg00469207	chr7	152622893	194	cg00469207_cpg194
cg00469207	chr7	152622895	195	cg00469207_cpg195
