sample	probe_id	CpG_meth	CpG_total	CpG_frac	nonCpG_meth	nonCpG_total	nonCpG_frac	n_reads	n_reads_with_CpG
V10_S3	cg00002719	28856	53606	0.538298	345	180548	0.00191085	4629	4629
V10_S3	cg00469207	198083	292599	0.676978	1749	853114	0.00205014	17641	17641
V10_S3	cg00582524	50748	82581	0.614524	619	263162	0.00235216	5467	5467
V10_S3	cg00995986	22822	38616	0.590999	370	249755	0.00148145	5431	5411
V10_S3	cg01163404	27304	55411	0.492754	571	300895	0.00189767	6739	6739
V10_S3	cg01419831	378450	644750	0.586972	5254	1856132	0.00283062	40704	40696
V10_S3	cg01452847	2381	78191	0.0304511	327	174493	0.001874	3906	3906
V10_S3	cg01576677	82211	201221	0.408561	1558	495095	0.00314687	11008	11008
V10_S3	cg02467990	293323	431154	0.680321	4323	997420	0.00433418	20956	20956
V10_S3	cg02511231	1111146	2535325	0.438266	22310	6433815	0.00346762	137514	137513
V10_S3	cg02571204	52986	58088	0.912168	1990	254072	0.00783243	6354	6349
V10_S3	cg02699898	192715	215511	0.894223	5302	864202	0.00613514	16966	16966
V10_S3	cg02919936	748500	1365696	0.548072	10023	3762021	0.00266426	80881	80876
V10_S3	cg03011535	177141	789197	0.224457	3116	2037583	0.00152926	44200	44200
V10_S3	cg03217795	261765	560956	0.466641	4366	1183168	0.00369009	24863	24863
V10_S3	cg03257575	65153	134857	0.483127	1402	452604	0.00309763	8521	8521
V10_S3	cg03401096	249963	585818	0.426691	7159	1410592	0.00507517	30897	30897
V10_S3	cg03502002	27044	51028	0.529984	1252	110203	0.0113609	2575	2575
V10_S3	cg03563667	61968	110799	0.559283	856	267733	0.00319722	5015	5015
V10_S3	cg03735888	208423	358616	0.581187	3583	1189093	0.00301322	24833	24833
V10_S3	cg04123776	76876	144008	0.533831	1067	427928	0.00249341	9457	9457
V10_S3	cg04261408	52483	83533	0.628291	1145	214892	0.00532826	4692	4692
V10_S3	cg04281464	96208	209765	0.458647	1165	676104	0.00172311	14348	14348
V10_S3	cg04869380	21783	34475	0.631849	397	301357	0.00131737	5212	5205
