sample	cns_path	tissue	genome_len_autosomes	n_segments_autosomes	aneuploidy_score	fga	fga_gain	fga_loss	max_gain_log2	min_loss_log2	n_gain_segments	n_loss_segments	chr1_mean_log2	chr2_mean_log2	chr3_mean_log2	chr4_mean_log2	chr5_mean_log2	chr6_mean_log2	chr7_mean_log2	chr8_mean_log2	chr9_mean_log2	chr10_mean_log2	chr11_mean_log2	chr12_mean_log2	chr13_mean_log2	chr14_mean_log2	chr15_mean_log2	chr16_mean_log2	chr17_mean_log2	chr18_mean_log2	chr19_mean_log2	chr20_mean_log2	chr21_mean_log2	chr22_mean_log2	n_chr_altered	cnr_path	mad_bin_log2	frac_bins_extreme
V10_S3	/data/farneysk/ElnitskiLab/Bismark_Output/WGEmSeq/seq_files/EMseq_BAMs/CoordSorted/Colon/cnvkit/V10_S3.coordsort.cns	Colon	2697474548	638	0.20024888020850487	0.6213186445976431	0.4120197448476537	0.20929889974998941	1.7108	-25.3251	331	182	-0.06993154041094243	0.12536529969319365	-0.005181482018429068	-0.032229305807172516	0.004436056362558947	-0.023854040150598953	0.4389525712928728	-0.060266563944521734	0.36904327492113065	0.1698595886163385	-0.05543216943722306	0.27337696833288605	1.6550318172039145	-0.005044187387186874	0.0634773	-0.06707570509807984	-0.14714496627601603	0.22704190082637757	-0.0894908443537194	0.3825897048991448	0.22629046412861406	-0.14031122638175111	17	/data/farneysk/ElnitskiLab/Bismark_Output/WGEmSeq/seq_files/EMseq_BAMs/CoordSorted/Colon/cnvkit/V10_S3.coordsort.cnr	0.1743145	0.0003940837987933183
V21_S11	/data/farneysk/ElnitskiLab/Bismark_Output/WGEmSeq/seq_files/EMseq_BAMs/CoordSorted/Colon/cnvkit/V21_S11.coordsort.cns	Colon	2697529110	442	0.15024271177921536	0.6632303074571826	0.4522224603537272	0.21100784710345535	1.73447	-26.1989	257	144	-0.03915863868578024	0.11585442407016093	0.15416493719504484	-0.05173299412104651	-0.03575444933979346	0.055188480181541315	0.2936633169119196	0.39571455130276145	-0.03997136079305909	-0.07938290845890547	0.1512683193957845	0.011558100500471527	0.4867640798582242	-0.06488389441737828	-0.08152927862284949	0.1256301737665831	-0.11281815020186814	-0.0035102593028340763	-0.016594030398057694	0.4717744560332877	-0.05511348729916471	-0.27099042376441007	16	/data/farneysk/ElnitskiLab/Bismark_Output/WGEmSeq/seq_files/EMseq_BAMs/CoordSorted/Colon/cnvkit/V21_S11.coordsort.cnr	0.14563790000000001	0.0003962650744323957
V21_S12	/data/farneysk/ElnitskiLab/Bismark_Output/WGEmSeq/seq_files/EMseq_BAMs/CoordSorted/Colon/cnvkit/V21_S12.coordsort.cns	Colon	2697866343	230	0.011877452680713704	0.003595525043399083	0.0008970544468518173	0.0026984705965472657	1.53979	-25.7046	24	79	-0.012872198398689142	-0.01285305045657806	-0.006317844562394609	-0.013412967935386114	-0.002190413569388695	-0.009196065804440339	0.00049008379444763	-0.010400540281685515	-0.010609108418432581	-0.027093578456241454	-0.013242978621655351	-0.003540874620755485	0.000155691931271511	-0.00707267	-0.015121259895010652	0.009125053805555703	-0.006991747090834654	-0.01655764281882341	0.01323315528605788	0.0016534648120855877	-0.009749269475280641	-0.03296520481525573	0	/data/farneysk/ElnitskiLab/Bismark_Output/WGEmSeq/seq_files/EMseq_BAMs/CoordSorted/Colon/cnvkit/V21_S12.coordsort.cnr	0.08467343499999999	0.0002951993031551425
V21_S13	/data/farneysk/ElnitskiLab/Bismark_Output/WGEmSeq/seq_files/EMseq_BAMs/CoordSorted/Colon/cnvkit/V21_S13.coordsort.cns	Colon	2697697794	570	0.04194386612176439	0.17770428217208972	0.05905185760773914	0.11865242456435059	0.844088	-27.0262	105	231	-0.02133815513665085	0.02212557307906883	0.02073478559429453	-0.05164591116099626	0.006387239022511022	0.01799202337069855	0.0306088354679345	0.008826850264203876	-0.05044211923510198	-0.04128634720393371	0.002090298432832067	-0.04236697435453449	-0.012042483877623375	0.004837377969012724	-0.049057389118425034	-0.015777546565859415	-0.04059593497342282	-0.04861172331440687	-0.04570756285748133	0.08143362001848778	0.0029318608674363715	-0.0931339235233271	4	/data/farneysk/ElnitskiLab/Bismark_Output/WGEmSeq/seq_files/EMseq_BAMs/CoordSorted/Colon/cnvkit/V21_S13.coordsort.cnr	0.11354194000000001	0.0003570021129290024
V21_S14	/data/farneysk/ElnitskiLab/Bismark_Output/WGEmSeq/seq_files/EMseq_BAMs/CoordSorted/Colon/cnvkit/V21_S14.coordsort.cns	Colon	2697888413	900	0.02528389002393579	0.1204901056817727	0.03450452159230946	0.08598558408946323	0.833318	-25.8979	174	318	0.002326160645667441	0.004642493598439817	7.169655195803936e-05	-0.02259172466233272	-0.0013535341869289781	0.002934039044510384	-0.012770022218274592	0.0031778898048841512	-0.008861742659095295	-0.00289844698593761	-0.0005037754222575968	-0.020431078925172808	-0.007092911329369358	-0.028422271855961648	0.000535311	-0.026781067781280997	-0.0263945435273608	-0.008002837774653935	-0.1281749528248166	-0.0079396129592303	-0.039131292735902004	-0.044520226688005864	1	/data/farneysk/ElnitskiLab/Bismark_Output/WGEmSeq/seq_files/EMseq_BAMs/CoordSorted/Colon/cnvkit/V21_S14.coordsort.cnr	0.11153513999999999	0.0003151943298466854
V21_S15	/data/farneysk/ElnitskiLab/Bismark_Output/WGEmSeq/seq_files/EMseq_BAMs/CoordSorted/Colon/cnvkit/V21_S15.coordsort.cns	Colon	2697509337	402	0.015905540924192673	0.03193886368371818	0.006177919301860048	0.02576094438185813	0.888526	-26.1118	32	134	-0.017605605469049743	-0.0010496006235137414	-0.006648459025912993	0.007747242440516733	0.0011706669779560817	-0.0063466504835644035	-0.00045576288311635724	0.013880718235718606	-0.0230526870573103	-0.021687700511743215	-0.0006974279462045433	-0.010114968604910948	-0.0004217020108462929	-0.00135646	-0.018208	-0.019234576935437106	-0.0231560907974301	0.006548795675539701	-0.030887830736343658	-0.014851101012832164	-0.012815826189512727	-0.06404554546146687	1	/data/farneysk/ElnitskiLab/Bismark_Output/WGEmSeq/seq_files/EMseq_BAMs/CoordSorted/Colon/cnvkit/V21_S15.coordsort.cnr	0.0949565	0.00025084669849390187
V23_S1	/data/farneysk/ElnitskiLab/Bismark_Output/WGEmSeq/seq_files/EMseq_BAMs/CoordSorted/Colon/cnvkit/V23_S1.coordsort.cns	Colon	2697846728	278	0.01912265772503169	0.052769858466177474	0.048330653719776476	0.004439204746400997	1.0422	-25.2182	45	79	-0.006228846140521892	0.011110752448110339	-0.007181285951235163	-0.012747113102582286	-0.010418728362457262	0.011355378842717164	0.01363739648706901	-0.0023909747784328114	-0.026654415006443184	-0.022310260851933744	0.014848674572655242	-0.007164377389754113	0.06205117218467124	-0.011510438101200077	-0.0009591752537928453	0.0010575899812921847	0.01411917701494387	-0.024643003872032238	-0.03352901152282384	0.039780534965830054	-0.0102905	-0.02654637590981563	1	/data/farneysk/ElnitskiLab/Bismark_Output/WGEmSeq/seq_files/EMseq_BAMs/CoordSorted/Colon/cnvkit/V23_S1.coordsort.cnr	0.106023725	0.00026975108736590605
V23_S3	/data/farneysk/ElnitskiLab/Bismark_Output/WGEmSeq/seq_files/EMseq_BAMs/CoordSorted/Colon/cnvkit/V23_S3.coordsort.cns	Colon	2697944793	311	0.01306872344439207	0.0214908530190966	0.0009518411965518674	0.020539011822544733	0.583273	-26.4985	26	109	-0.001567231923557451	-0.0036272354760373557	-0.004774687411490482	-0.015149794446651356	-0.006766267269858357	-0.010195953055761263	-0.01667265410198867	-0.007690365066700739	-0.024444967094432755	-0.015505952458966805	0.0017351634476136053	-0.005518237774996877	-0.013152638307348434	-0.00540563	-0.0032981400000000006	-0.013407928637867838	-0.035925885885611075	-0.008626954444815095	-0.050589064489240006	-0.003114771130575013	-0.019856564168449702	-0.01849577725963667	1	/data/farneysk/ElnitskiLab/Bismark_Output/WGEmSeq/seq_files/EMseq_BAMs/CoordSorted/Colon/cnvkit/V23_S3.coordsort.cnr	0.107460835	0.00023994032029851485
V23_S6	/data/farneysk/ElnitskiLab/Bismark_Output/WGEmSeq/seq_files/EMseq_BAMs/CoordSorted/Colon/cnvkit/V23_S6.coordsort.cns	Colon	2697577794	274	0.015483214921341214	0.018481293889239362	0.00094186384750467	0.017539430041734694	1.27403	-25.613	26	77	-0.008445180913062556	0.0017533072517500825	-0.012606719927869523	-0.01076062934443052	-0.0013719934193371737	-0.0011725505701518809	-0.011596212909751944	-0.006612755038896241	-0.009313562573854291	-0.0010370138801782819	-0.001312447446594316	-0.008781905612674506	-0.008739248274721334	-0.00588039	-0.00159883	-0.03008622370498203	-0.007058131732348644	-0.004966857333759263	-0.03957439304924205	-0.0015495091281469823	-0.08113647310631028	-0.06297421636547895	2	/data/farneysk/ElnitskiLab/Bismark_Output/WGEmSeq/seq_files/EMseq_BAMs/CoordSorted/Colon/cnvkit/V23_S6.coordsort.cnr	0.0960443175	0.0002930180275160651
V23_S7	/data/farneysk/ElnitskiLab/Bismark_Output/WGEmSeq/seq_files/EMseq_BAMs/CoordSorted/Colon/cnvkit/V23_S7.coordsort.cns	Colon	2697877422	329	0.01700428034456367	0.008268360459261815	0.003348048701673	0.004920311757588815	1.68123	-26.1533	38	96	-0.01331135229491967	-0.00024220470426959128	0.0024215584185015735	-0.007821331631864773	0.0017280433293421571	-0.000741096669278958	0.005240776870556049	-0.02550045583442296	-0.004129763186735265	-0.02828558222130379	-0.004140411160758791	-0.04986252101797428	0.008318741385337646	-0.0102209	-0.0256876888726427	-0.02636267981391553	-0.017518943589581337	-0.018692860992603703	-0.025605532210952072	0.011298285573766314	-0.0161017	-0.03568333208943889	0	/data/farneysk/ElnitskiLab/Bismark_Output/WGEmSeq/seq_files/EMseq_BAMs/CoordSorted/Colon/cnvkit/V23_S7.coordsort.cnr	0.08199395500000001	0.0003144672379669929
